subject,hand,comparison,volume_a,volume_b,overlap
6,left,D1_D2,1235,2314,767
6,left,D1_D3,1235,1361,389
6,left,D1_D4,1235,2078,664
6,left,D1_D5,1235,1608,478
6,left,D2_D3,2314,1361,1075
6,left,D2_D4,2314,2078,1493
6,left,D2_D5,2314,1608,1219
6,left,D3_D4,1361,2078,985
6,left,D3_D5,1361,1608,897
6,left,D4_D5,2078,1608,1309
6,right,D1_D2,2035,1590,1117
6,right,D1_D3,2035,942,644
6,right,D1_D4,2035,1177,831
6,right,D1_D5,2035,792,574
6,right,D2_D3,1590,942,558
6,right,D2_D4,1590,1177,661
6,right,D2_D5,1590,792,462
6,right,D3_D4,942,1177,592
6,right,D3_D5,942,792,468
6,right,D4_D5,1177,792,635
