subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
6,left,D1,7838,-2.667,-0.4138,-0.0943,-0.07822,0.2416,1.655,0.3173,142,97,122,-52,-29,50
6,left,D1,8146,-2.142,-0.1709,0.2652,0.1819,0.7172,8.943,0.522,45,90,137,45,-36,65
6,left,D2,7838,-1.339,-0.2133,0.1144,0.09799,0.4385,4.766,0.3176,124,106,142,-34,-20,70
6,left,D2,8146,-1.676,0.008238,0.5548,0.391,1.3,7.638,0.6433,45,90,137,45,-36,65
6,left,D3,7838,-2.591,-0.3998,-0.08546,-0.0664,0.2312,1.539,0.3113,124,106,142,-34,-20,70
6,left,D3,8146,-0.9705,-0.1662,0.3318,0.2106,0.9646,5.971,0.5423,45,90,137,45,-36,65
6,left,D4,7838,-2.79,-0.3066,0.06041,0.04752,0.4263,4.58,0.3745,124,106,142,-34,-20,70
6,left,D4,8146,-1.535,-0.1415,0.4898,0.3342,1.29,9.464,0.7071,45,90,137,45,-36,65
6,left,D5,7838,-1.359,-0.3017,0.003002,-0.001151,0.3179,1.608,0.2619,142,97,122,-52,-29,50
6,left,D5,8146,-0.9583,-0.1208,0.4097,0.281,1.044,8.432,0.6233,45,90,137,45,-36,65
6,right,D1,7838,-1.127,-0.07078,0.5586,0.4329,1.282,8.076,0.6742,124,106,142,-34,-20,70
6,right,D1,8146,-3.398,-0.2918,0.09987,0.03305,0.4542,11.61,0.5431,42,92,134,48,-34,62
6,right,D2,7838,-1.637,-0.06953,0.5165,0.4091,1.177,9.134,0.6562,124,106,142,-34,-20,70
6,right,D2,8146,-5.514,-0.4189,0.003029,-0.04856,0.4334,9.501,0.5084,42,92,134,48,-34,62
6,right,D3,7838,-1.219,-0.2014,0.2493,0.1436,0.8454,4.903,0.46,134,104,138,-44,-22,66
6,right,D3,8146,-1.026,-0.3066,-0.02474,-0.05122,0.2446,5.764,0.3192,42,92,134,48,-34,62
6,right,D4,7838,-1.756,-0.1202,0.3646,0.2563,0.9782,6.001,0.5192,124,106,142,-34,-20,70
6,right,D4,8146,-2.859,-0.2707,0.03413,0.004781,0.3292,7.036,0.3718,43,91,135,47,-35,63
6,right,D5,7838,-1.758,-0.2037,0.2488,0.16,0.8142,4.69,0.4774,128,99,141,-38,-27,69
6,right,D5,8146,-2.188,-0.3382,-0.0375,-0.04745,0.2392,8.565,0.3403,42,92,134,48,-34,62
