subject,hand,comparison,distance
6,left,D1_D2,0.2150686
6,left,D1_D3,0.3231427
6,left,D1_D4,0.3207183
6,left,D1_D5,0.3293709
6,left,D2_D3,0.139039
6,left,D2_D4,0.3070397
6,left,D2_D5,0.3025126
6,left,D3_D4,0.120355
6,left,D3_D5,0.1741161
6,left,D4_D5,0.01276224
6,right,D1_D2,0.2556229
6,right,D1_D3,0.5095688
6,right,D1_D4,0.5036044
6,right,D1_D5,0.5861222
6,right,D2_D3,0.198294
6,right,D2_D4,0.3242492
6,right,D2_D5,0.423455
6,right,D3_D4,0.08323392
6,right,D3_D5,0.2494042
6,right,D4_D5,0.006659226
