subject,hand,comparison,volume_a,volume_b,overlap
6,left,D1_D2,1312,3038,916
6,left,D1_D3,1312,2076,616
6,left,D1_D4,1312,3041,922
6,left,D1_D5,1312,2296,730
6,left,D2_D3,3038,2076,1666
6,left,D2_D4,3038,3041,2195
6,left,D2_D5,3038,2296,1785
6,left,D3_D4,2076,3041,1700
6,left,D3_D5,2076,2296,1416
6,left,D4_D5,3041,2296,1975
6,right,D1_D2,3055,2548,1807
6,right,D1_D3,3055,1346,933
6,right,D1_D4,3055,1775,1249
6,right,D1_D5,3055,1235,861
6,right,D2_D3,2548,1346,938
6,right,D2_D4,2548,1775,1149
6,right,D2_D5,2548,1235,830
6,right,D3_D4,1346,1775,879
6,right,D3_D5,1346,1235,729
6,right,D4_D5,1775,1235,961
