subject,hand,comparison,distance
6,left,D1_D2,0.2413423
6,left,D1_D3,0.2894269
6,left,D1_D4,0.355411
6,left,D1_D5,0.3238969
6,left,D2_D3,0.1991068
6,left,D2_D4,0.3410482
6,left,D2_D5,0.3331987
6,left,D3_D4,0.143009
6,left,D3_D5,0.1762912
6,left,D4_D5,0.03742302
6,right,D1_D2,0.1816305
6,right,D1_D3,0.2951242
6,right,D1_D4,0.2940522
6,right,D1_D5,0.3943568
6,right,D2_D3,0.1341551
6,right,D2_D4,0.2082573
6,right,D2_D5,0.2993231
6,right,D3_D4,0.004324877
6,right,D3_D5,0.1869824
6,right,D4_D5,-0.01918322
