subject,hand,comparison,distance
28,left,D1_D2,0.04532498
28,left,D1_D3,0.240319
28,left,D1_D4,0.1806328
28,left,D1_D5,0.2560846
28,left,D2_D3,0.2322601
28,left,D2_D4,0.3555283
28,left,D2_D5,0.4205138
28,left,D3_D4,0.04751237
28,left,D3_D5,0.04999976
28,left,D4_D5,0.07380476
28,right,D1_D2,0.3154095
28,right,D1_D3,0.2624597
28,right,D1_D4,0.3547593
28,right,D1_D5,0.4045406
28,right,D2_D3,0.2678168
28,right,D2_D4,0.1452506
28,right,D2_D5,0.2719164
28,right,D3_D4,0.07774802
28,right,D3_D5,0.2181776
28,right,D4_D5,0.1492635
