subject,hand,hemisphere,fold,correlation_coefficient
28,left,right,1,0.3966636
28,left,right,2,0.4964705
28,left,right,3,0.3586939
28,left,right,4,0.6211008
28,left,right,5,0.5774415
28,right,left,1,0.8874007
28,right,left,2,0.6497924
28,right,left,3,-0.293187
28,right,left,4,0.4565607
28,right,left,5,0.2024835
