subject,hand,comparison,volume_a,volume_b,overlap
49,left,D1_D2,454,594,230
49,left,D1_D3,454,456,157
49,left,D1_D4,454,476,147
49,left,D1_D5,454,822,233
49,left,D2_D3,594,456,163
49,left,D2_D4,594,476,148
49,left,D2_D5,594,822,226
49,left,D3_D4,456,476,249
49,left,D3_D5,456,822,237
49,left,D4_D5,476,822,256
49,right,D1_D2,788,291,195
49,right,D1_D3,788,591,286
49,right,D1_D4,788,73,21
49,right,D1_D5,788,587,209
49,right,D2_D3,291,591,193
49,right,D2_D4,291,73,11
49,right,D2_D5,291,587,96
49,right,D3_D4,591,73,32
49,right,D3_D5,591,587,231
49,right,D4_D5,73,587,46
