subject,hand,comparison,volume_a,volume_b,overlap
49,left,D1_D2,871,1123,442
49,left,D1_D3,871,843,176
49,left,D1_D4,871,960,180
49,left,D1_D5,871,1439,290
49,left,D2_D3,1123,843,368
49,left,D2_D4,1123,960,327
49,left,D2_D5,1123,1439,446
49,left,D3_D4,843,960,464
49,left,D3_D5,843,1439,454
49,left,D4_D5,960,1439,577
49,right,D1_D2,1698,1035,685
49,right,D1_D3,1698,1589,905
49,right,D1_D4,1698,635,353
49,right,D1_D5,1698,1564,765
49,right,D2_D3,1035,1589,748
49,right,D2_D4,1035,635,322
49,right,D2_D5,1035,1564,635
49,right,D3_D4,1589,635,462
49,right,D3_D5,1589,1564,927
49,right,D4_D5,635,1564,464
