subject,hand,run,volume,displacement
49,left,1,1,0.450403
49,left,1,2,0.473895
49,left,1,3,0.415359
49,left,1,4,0.449574
49,left,1,5,0.427885
49,left,1,6,0.453914
49,left,1,7,0.404573
49,left,1,8,0.418499
49,left,1,9,0.409841
49,left,1,10,0.384104
49,left,1,11,0.395074
49,left,1,12,0.380013
49,left,1,13,0.40382
49,left,1,14,0.40237
49,left,1,15,0.349674
49,left,1,16,0.3444
49,left,1,17,0.378481
49,left,1,18,0.327455
49,left,1,19,0.344839
49,left,1,20,0.348356
49,left,1,21,0.319904
49,left,1,22,0.317231
49,left,1,23,0.301392
49,left,1,24,0.292895
49,left,1,25,0.280967
49,left,1,26,0.288592
49,left,1,27,0.282444
49,left,1,28,0.276779
49,left,1,29,0.28527
49,left,1,30,0.236515
49,left,1,31,0.278662
49,left,1,32,0.250249
49,left,1,33,0.231069
49,left,1,34,0.235003
49,left,1,35,0.221719
49,left,1,36,0.255233
49,left,1,37,0.220397
49,left,1,38,0.246364
49,left,1,39,0.188296
49,left,1,40,0.204731
49,left,1,41,0.20446
49,left,1,42,0.191219
49,left,1,43,0.17198
49,left,1,44,0.197608
49,left,1,45,0.149255
49,left,1,46,0.192703
49,left,1,47,0.164859
49,left,1,48,0.171626
49,left,1,49,0.166272
49,left,1,50,0.122739
49,left,1,51,0.138984
49,left,1,52,0.111502
49,left,1,53,0.11626
49,left,1,54,0.0774989
49,left,1,55,0.0972677
49,left,1,56,0.0641695
49,left,1,57,0.065176
49,left,1,58,0.0533899
49,left,1,59,0.126707
49,left,1,60,0.0033657
49,left,1,61,0.0710225
49,left,1,62,0.0433117
49,left,1,63,0.0755157
49,left,1,64,0.0440082
49,left,1,65,0.063564
49,left,1,66,0.0487869
49,left,1,67,0.0740117
49,left,1,68,0.060846
49,left,1,69,0.0837692
49,left,1,70,0.0745911
49,left,1,71,0.104299
49,left,1,72,0.0918504
49,left,1,73,0.12875
49,left,1,74,0.12912
49,left,1,75,0.103248
49,left,1,76,0.143534
49,left,1,77,0.123097
49,left,1,78,0.157152
49,left,1,79,0.149926
49,left,1,80,0.161602
49,left,1,81,0.148297
49,left,1,82,0.171376
49,left,1,83,0.18489
49,left,1,84,0.219434
49,left,1,85,0.213728
49,left,1,86,0.220344
49,left,1,87,0.236754
49,left,1,88,0.251963
49,left,1,89,0.269125
