subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
49,left,D1,7266,-0.9279,-0.3036,-0.009845,-0.02468,0.2895,1.324,0.2511,149,101,122,-59,-25,50
49,left,D1,6699,-1.108,-0.1544,0.2532,0.2215,0.7099,1.981,0.3513,24,106,115,66,-20,43
49,left,D2,7266,-0.8437,-0.2949,-0.00817,-0.02422,0.2925,1.533,0.2469,148,110,128,-58,-16,56
49,left,D2,6699,-0.8867,-0.0518,0.3236,0.2829,0.7523,1.976,0.3325,24,107,113,66,-19,41
49,left,D3,7266,-1.483,-0.3159,-0.03733,-0.03796,0.2466,0.9291,0.2278,138,100,124,-48,-26,52
49,left,D3,6699,-0.7192,-0.1516,0.2175,0.1803,0.6546,2.515,0.3303,48,110,143,42,-16,71
49,left,D4,7266,-2.899,-0.3358,-0.04876,-0.04167,0.2304,1.549,0.2514,140,95,128,-50,-31,56
49,left,D4,6699,-0.8786,-0.213,0.2156,0.171,0.6929,2.731,0.3781,48,110,143,42,-16,71
49,left,D5,7266,-1.052,-0.3014,-0.01649,-0.03776,0.2944,1.626,0.2506,140,96,127,-50,-30,55
49,left,D5,6699,-0.7745,-0.1169,0.302,0.2474,0.7913,3.274,0.3765,48,110,143,42,-16,71
49,right,D1,7266,-0.8801,-0.1081,0.3451,0.2858,0.8464,4.67,0.4345,127,106,145,-37,-20,73
49,right,D1,6699,-1.095,-0.2716,0.04931,0.04511,0.375,1.08,0.2547,42,118,133,48,-8,61
49,right,D2,7266,-2.536,-0.1753,0.2321,0.176,0.7065,3.215,0.3882,127,106,145,-37,-20,73
49,right,D2,6699,-1.336,-0.34,-0.02267,-0.01294,0.2802,1.218,0.2586,24,106,113,66,-20,41
49,right,D3,7266,-0.9012,-0.1021,0.3367,0.276,0.828,4.847,0.431,127,106,145,-37,-20,73
49,right,D3,6699,-0.4625,-0.08714,0.1853,0.1671,0.4818,1.319,0.2311,48,110,143,42,-16,71
49,right,D4,7266,-2.329,-0.4267,0.06258,0.04781,0.5325,2.685,0.4094,140,95,128,-50,-31,56
49,right,D4,6699,-1.677,-0.4812,-0.1486,-0.1392,0.1773,0.946,0.2766,39,99,120,51,-27,48
49,right,D5,7266,-1.275,-0.2077,0.2871,0.2098,0.8227,5.336,0.4961,127,106,145,-37,-20,73
49,right,D5,6699,-0.744,-0.1146,0.1637,0.1584,0.4487,1.348,0.2276,48,110,143,42,-16,71
