subject,hand,comparison,distance
49,left,D1_D2,0.05748975
49,left,D1_D3,0.1468616
49,left,D1_D4,0.18078
49,left,D1_D5,0.1592122
49,left,D2_D3,0.04551022
49,left,D2_D4,0.1050781
49,left,D2_D5,0.1712729
49,left,D3_D4,0.04879769
49,left,D3_D5,0.1139052
49,left,D4_D5,0.05046055
49,right,D1_D2,0.1161626
49,right,D1_D3,0.159234
49,right,D1_D4,0.1909724
49,right,D1_D5,0.2302314
49,right,D2_D3,0.05436837
49,right,D2_D4,0.1595716
49,right,D2_D5,0.2135611
49,right,D3_D4,0.1082504
49,right,D3_D5,0.14004
49,right,D4_D5,0.03722926
