subject,hand,comparison,distance
59,left,D1_D2,0.2077878
59,left,D1_D3,0.4536338
59,left,D1_D4,0.4702148
59,left,D1_D5,0.5069
59,left,D2_D3,0.14954
59,left,D2_D4,0.2406043
59,left,D2_D5,0.2629521
59,left,D3_D4,0.06037655
59,left,D3_D5,0.0558242
59,left,D4_D5,0.07052902
59,right,D1_D2,0.2228777
59,right,D1_D3,0.3490925
59,right,D1_D4,0.423024
59,right,D1_D5,0.6296916
59,right,D2_D3,0.1149651
59,right,D2_D4,0.290837
59,right,D2_D5,0.5049172
59,right,D3_D4,0.05419651
59,right,D3_D5,0.3972881
59,right,D4_D5,0.2832243
