subject,hand,comparison,volume_a,volume_b,overlap
59,left,D1_D2,1215,1249,847
59,left,D1_D3,1215,731,423
59,left,D1_D4,1215,959,545
59,left,D1_D5,1215,996,471
59,left,D2_D3,1249,731,458
59,left,D2_D4,1249,959,629
59,left,D2_D5,1249,996,565
59,left,D3_D4,731,959,509
59,left,D3_D5,731,996,439
59,left,D4_D5,959,996,553
59,right,D1_D2,1551,1036,836
59,right,D1_D3,1551,1260,804
59,right,D1_D4,1551,837,566
59,right,D1_D5,1551,1585,894
59,right,D2_D3,1036,1260,815
59,right,D2_D4,1036,837,519
59,right,D2_D5,1036,1585,659
59,right,D3_D4,1260,837,675
59,right,D3_D5,1260,1585,798
59,right,D4_D5,837,1585,632
