subject,hand,comparison,distance
51,left,D1_D2,0.1947436
51,left,D1_D3,0.1523739
51,left,D1_D4,0.2926459
51,left,D1_D5,0.409739
51,left,D2_D3,-0.1040885
51,left,D2_D4,0.2833902
51,left,D2_D5,0.3186193
51,left,D3_D4,0.09630274
51,left,D3_D5,0.1369179
51,left,D4_D5,0.05095835
51,right,D1_D2,0.1022272
51,right,D1_D3,0.2115063
51,right,D1_D4,0.2756314
51,right,D1_D5,0.2503497
51,right,D2_D3,0.06306795
51,right,D2_D4,0.1361221
51,right,D2_D5,0.2263174
51,right,D3_D4,0.06371605
51,right,D3_D5,0.1195138
51,right,D4_D5,0.08710792
