subject,hand,run,volume,displacement
51,left,1,1,0.375173
51,left,1,2,0.487543
51,left,1,3,0.530076
51,left,1,4,0.438668
51,left,1,5,0.392195
51,left,1,6,0.49
51,left,1,7,0.481748
51,left,1,8,0.382008
51,left,1,9,0.335044
51,left,1,10,0.467817
51,left,1,11,0.439396
51,left,1,12,0.345733
51,left,1,13,0.28237
51,left,1,14,0.342026
51,left,1,15,0.435556
51,left,1,16,0.40285
51,left,1,17,0.325201
51,left,1,18,0.327071
51,left,1,19,0.421446
51,left,1,20,0.419043
51,left,1,21,0.338669
51,left,1,22,0.268673
51,left,1,23,0.329161
51,left,1,24,0.403492
51,left,1,25,0.338916
51,left,1,26,0.250143
51,left,1,27,0.298619
51,left,1,28,0.365098
51,left,1,29,0.266235
51,left,1,30,0.198794
51,left,1,31,0.268207
51,left,1,32,0.337171
51,left,1,33,0.268333
51,left,1,34,0.200605
51,left,1,35,0.285411
51,left,1,36,0.278474
51,left,1,37,0.214978
51,left,1,38,0.168597
51,left,1,39,0.261387
51,left,1,40,0.244372
51,left,1,41,0.157052
51,left,1,42,0.129473
51,left,1,43,0.223581
51,left,1,44,0.221405
51,left,1,45,0.115211
51,left,1,46,0.0990467
51,left,1,47,0.186009
51,left,1,48,0.149689
51,left,1,49,0.078737
51,left,1,50,0.124431
51,left,1,51,0.159996
51,left,1,52,0.0966768
51,left,1,53,0.0528376
51,left,1,54,0.0835666
51,left,1,55,0.132261
51,left,1,56,0.102014
51,left,1,57,0.0804166
51,left,1,58,0.12544
51,left,1,59,0.076688
51,left,1,60,0.00603561
51,left,1,61,0.0698226
51,left,1,62,0.0561196
51,left,1,63,0.0548011
51,left,1,64,0.0410471
51,left,1,65,0.0527737
51,left,1,66,0.0785993
51,left,1,67,0.111753
51,left,1,68,0.0757887
51,left,1,69,0.0339836
51,left,1,70,0.093719
51,left,1,71,0.127989
51,left,1,72,0.112682
51,left,1,73,0.0722426
51,left,1,74,0.125125
51,left,1,75,0.154467
51,left,1,76,0.0908266
51,left,1,77,0.119204
51,left,1,78,0.206274
51,left,1,79,0.246955
51,left,1,80,0.130363
51,left,1,81,0.125253
51,left,1,82,0.193446
51,left,1,83,0.235982
51,left,1,84,0.167817
51,left,1,85,0.157102
51,left,1,86,0.221941
51,left,1,87,0.269314
51,left,1,88,0.249798
51,left,1,89,0.185182
51,left,1,90,0.250167
51,left,1,91,0.319088
51,left,1,92,0.3438
51,left,1,93,0.235477
51,left,1,94,0.235759
51,left,1,95,0.318264
51,left,1,96,0.360126
51,left,1,97,0.271218
51,left,1,98,0.272629
51,left,1,99,0.355827
51,left,1,100,0.409405
51,left,1,101,0.354635
51,left,1,102,0.323414
51,left,1,103,0.423003
51,left,1,104,0.479071
51,left,1,105,0.425095
51,left,1,106,0.360059
51,left,1,107,0.434899
51,left,1,108,0.514597
51,left,1,109,0.490734
51,left,1,110,0.405618
51,left,1,111,0.448153
51,left,1,112,0.540649
51,left,1,113,0.592107
51,left,1,114,0.482208
51,left,1,115,0.482889
51,left,1,116,0.591516
51,left,1,117,0.633835
51,left,1,118,0.534624
51,left,2,1,0.779097
51,left,2,2,0.701325
51,left,2,3,0.644297
51,left,2,4,0.728976
51,left,2,5,0.773842
51,left,2,6,0.754612
51,left,2,7,0.642007
51,left,2,8,0.624362
51,left,2,9,0.68088
51,left,2,10,0.670036
51,left,2,11,0.584021
51,left,2,12,0.507495
51,left,2,13,0.59918
51,left,2,14,0.644053
51,left,2,15,0.58964
51,left,2,16,0.510972
51,left,2,17,0.439697
51,left,2,18,0.459275
51,left,2,19,0.583939
51,left,2,20,0.581871
51,left,2,21,0.485708
51,left,2,22,0.424788
51,left,2,23,0.452951
51,left,2,24,0.532636
51,left,2,25,0.486839
51,left,2,26,0.379817
51,left,2,27,0.321311
51,left,2,28,0.385381
51,left,2,29,0.465851
51,left,2,30,0.450187
51,left,2,31,0.362832
51,left,2,32,0.296817
51,left,2,33,0.278837
51,left,2,34,0.383385
51,left,2,35,0.390845
51,left,2,36,0.313084
51,left,2,37,0.263768
51,left,2,38,0.305814
51,left,2,39,0.330189
51,left,2,40,0.258601
51,left,2,41,0.201906
51,left,2,42,0.182066
51,left,2,43,0.253174
51,left,2,44,0.241718
51,left,2,45,0.16274
51,left,2,46,0.112026
51,left,2,47,0.104317
51,left,2,48,0.204925
51,left,2,49,0.20852
51,left,2,50,0.131912
51,left,2,51,0.0946369
51,left,2,52,0.0777923
51,left,2,53,0.12776
51,left,2,54,0.163872
51,left,2,55,0.107617
51,left,2,56,0.0552343
51,left,2,57,0.0744702
51,left,2,58,0.120952
51,left,2,59,0.0601829
51,left,2,60,0.0102312
51,left,2,61,0.0848808
51,left,2,62,0.0805299
51,left,2,63,0.0512715
51,left,2,64,0.0866204
51,left,2,65,0.0880447
51,left,2,66,0.0564332
51,left,2,67,0.0914133
51,left,2,68,0.107268
51,left,2,69,0.0846509
51,left,2,70,0.0902134
51,left,2,71,0.14744
51,left,2,72,0.200317
51,left,2,73,0.233677
51,left,2,74,0.137921
51,left,2,75,0.11555
51,left,2,76,0.175319
51,left,2,77,0.214245
51,left,2,78,0.238589
51,left,2,79,0.166157
51,left,2,80,0.15878
51,left,2,81,0.231875
51,left,2,82,0.283544
51,left,2,83,0.31405
51,left,2,84,0.355462
51,left,2,85,0.29399
51,left,2,86,0.235163
51,left,2,87,0.281112
51,left,2,88,0.356956
51,left,2,89,0.408511
51,left,2,90,0.434664
51,left,2,91,0.338474
51,left,2,92,0.2998
51,left,2,93,0.371844
51,left,2,94,0.428274
51,left,2,95,0.480428
51,left,2,96,0.47028
51,left,2,97,0.379864
51,left,2,98,0.406578
51,left,2,99,0.479621
51,left,2,100,0.518474
51,left,2,101,0.562096
51,left,2,102,0.454944
51,left,2,103,0.455408
51,left,2,104,0.515947
51,left,2,105,0.602967
51,left,2,106,0.61333
51,left,2,107,0.519815
51,left,2,108,0.554259
51,left,2,109,0.650577
51,left,2,110,0.725844
51,left,2,111,0.646645
51,left,2,112,0.587387
51,left,2,113,0.633567
51,left,2,114,0.702213
51,left,2,115,0.756924
51,left,2,116,0.656766
51,left,2,117,0.63141
51,left,2,118,0.718779
51,left,3,1,0.823285
51,left,3,2,0.754
51,left,3,3,0.741287
51,left,3,4,0.816206
51,left,3,5,0.767273
51,left,3,6,0.674779
51,left,3,7,0.570244
51,left,3,8,0.537085
51,left,3,9,0.632054
51,left,3,10,0.579602
51,left,3,11,0.515544
51,left,3,12,0.471017
51,left,3,13,0.481154
51,left,3,14,0.554381
51,left,3,15,0.605144
51,left,3,16,0.49613
51,left,3,17,0.452271
51,left,3,18,0.453046
51,left,3,19,0.536788
51,left,3,20,0.537569
51,left,3,21,0.452981
51,left,3,22,0.410458
51,left,3,23,0.363125
51,left,3,24,0.406556
51,left,3,25,0.498374
51,left,3,26,0.439071
51,left,3,27,0.35637
51,left,3,28,0.30283
51,left,3,29,0.268433
51,left,3,30,0.385695
51,left,3,31,0.411825
51,left,3,32,0.322684
51,left,3,33,0.258024
51,left,3,34,0.227353
51,left,3,35,0.220473
51,left,3,36,0.293687
51,left,3,37,0.286898
51,left,3,38,0.27333
51,left,3,39,0.207665
51,left,3,40,0.162951
51,left,3,41,0.225237
51,left,3,42,0.213008
51,left,3,43,0.159637
51,left,3,44,0.144558
51,left,3,45,0.212109
51,left,3,46,0.207352
51,left,3,47,0.146533
51,left,3,48,0.0899525
51,left,3,49,0.155551
51,left,3,50,0.118301
51,left,3,51,0.0764889
51,left,3,52,0.08782
51,left,3,53,0.134162
51,left,3,54,0.100726
51,left,3,55,0.0612012
51,left,3,56,0.0499185
51,left,3,57,0.0816901
51,left,3,58,0.105715
51,left,3,59,0.0508021
51,left,3,60,0.00722197
51,left,3,61,0.0422849
51,left,3,62,0.0632523
51,left,3,63,0.0827615
51,left,3,64,0.0943009
51,left,3,65,0.0865397
51,left,3,66,0.192232
51,left,3,67,0.254616
51,left,3,68,0.129119
51,left,3,69,0.115288
51,left,3,70,0.137164
51,left,3,71,0.136378
51,left,3,72,0.116971
51,left,3,73,0.146171
51,left,3,74,0.187792
51,left,3,75,0.139964
51,left,3,76,0.144527
51,left,3,77,0.204815
51,left,3,78,0.219064
