subject,hand,comparison,distance
51,left,D1_D2,0.2159812
51,left,D1_D3,0.3585281
51,left,D1_D4,0.3214107
51,left,D1_D5,0.4162794
51,left,D2_D3,0.003132361
51,left,D2_D4,0.1890431
51,left,D2_D5,0.2462276
51,left,D3_D4,0.1327872
51,left,D3_D5,0.08373727
51,left,D4_D5,0.1015721
51,right,D1_D2,0.1901561
51,right,D1_D3,0.2540883
51,right,D1_D4,0.3717184
51,right,D1_D5,0.3274711
51,right,D2_D3,0.02251406
51,right,D2_D4,0.1197419
51,right,D2_D5,0.191925
51,right,D3_D4,0.03497292
51,right,D3_D5,0.08721112
51,right,D4_D5,0.05360207
