subject,hand,comparison,volume_a,volume_b,overlap
51,left,D1_D2,553,57,3
51,left,D1_D3,553,882,269
51,left,D1_D4,553,179,41
51,left,D1_D5,553,335,93
51,left,D2_D3,57,882,33
51,left,D2_D4,57,179,12
51,left,D2_D5,57,335,10
51,left,D3_D4,882,179,150
51,left,D3_D5,882,335,237
51,left,D4_D5,179,335,106
51,right,D1_D2,1712,608,430
51,right,D1_D3,1712,942,539
51,right,D1_D4,1712,1530,685
51,right,D1_D5,1712,1154,557
51,right,D2_D3,608,942,422
51,right,D2_D4,608,1530,455
51,right,D2_D5,608,1154,405
51,right,D3_D4,942,1530,731
51,right,D3_D5,942,1154,664
51,right,D4_D5,1530,1154,850
