subject,hand,comparison,distance
8,left,D1_D2,0.06980951
8,left,D1_D3,0.1378936
8,left,D1_D4,0.1753159
8,left,D1_D5,0.1611135
8,left,D2_D3,0.0487748
8,left,D2_D4,0.07252683
8,left,D2_D5,0.09703472
8,left,D3_D4,0.04738661
8,left,D3_D5,0.01163916
8,left,D4_D5,0.01250343
8,right,D1_D2,0.08648776
8,right,D1_D3,0.1053196
8,right,D1_D4,0.1434708
8,right,D1_D5,0.1662059
8,right,D2_D3,0.02123986
8,right,D2_D4,0.06242687
8,right,D2_D5,0.1262747
8,right,D3_D4,0.04472441
8,right,D3_D5,0.05365347
8,right,D4_D5,0.02445844
