subject,hand,run,volume,displacement
8,left,1,1,0.514105
8,left,1,2,0.496847
8,left,1,3,0.488052
8,left,1,4,0.493883
8,left,1,5,0.478436
8,left,1,6,0.420402
8,left,1,7,0.437752
8,left,1,8,0.446679
8,left,1,9,0.429305
8,left,1,10,0.431467
8,left,1,11,0.42275
8,left,1,12,0.411767
8,left,1,13,0.393847
8,left,1,14,0.382604
8,left,1,15,0.386926
8,left,1,16,0.369284
8,left,1,17,0.354978
8,left,1,18,0.350171
8,left,1,19,0.351471
8,left,1,20,0.35379
8,left,1,21,0.33299
8,left,1,22,0.346696
8,left,1,23,0.33445
8,left,1,24,0.334728
8,left,1,25,0.334556
8,left,1,26,0.310169
8,left,1,27,0.311036
8,left,1,28,0.296894
8,left,1,29,0.284526
8,left,1,30,0.277185
8,left,1,31,0.265867
8,left,1,32,0.270909
8,left,1,33,0.256733
8,left,1,34,0.238871
8,left,1,35,0.239977
8,left,1,36,0.214744
8,left,1,37,0.212769
8,left,1,38,0.189963
8,left,1,39,0.184429
8,left,1,40,0.1858
8,left,1,41,0.181193
8,left,1,42,0.167232
8,left,1,43,0.169866
8,left,1,44,0.167504
8,left,1,45,0.170875
8,left,1,46,0.148192
8,left,1,47,0.137407
8,left,1,48,0.125132
8,left,1,49,0.130916
8,left,1,50,0.107593
8,left,1,51,0.104128
8,left,1,52,0.107215
8,left,1,53,0.0978948
8,left,1,54,0.0901328
8,left,1,55,0.0865715
8,left,1,56,0.0778093
8,left,1,57,0.0769346
8,left,1,58,0.0614104
8,left,1,59,0.0527854
8,left,1,60,0.01196
8,left,1,61,0.0646951
8,left,1,62,0.0600257
8,left,1,63,0.0507653
8,left,1,64,0.0597511
8,left,1,65,0.0664311
8,left,1,66,0.0688166
8,left,1,67,0.0842605
8,left,1,68,0.0802162
8,left,1,69,0.0955274
8,left,1,70,0.110771
8,left,1,71,0.116706
8,left,1,72,0.134545
8,left,1,73,0.142786
8,left,1,74,0.14472
8,left,1,75,0.157482
8,left,1,76,0.15449
8,left,1,77,0.166273
8,left,1,78,0.17715
8,left,1,79,0.17863
8,left,1,80,0.199552
8,left,1,81,0.208096
8,left,1,82,0.208885
8,left,1,83,0.229084
8,left,1,84,0.237053
8,left,1,85,0.239387
8,left,1,86,0.252437
8,left,1,87,0.258381
8,left,1,88,0.283133
8,left,1,89,0.292599
8,left,1,90,0.297057
8,left,1,91,0.315446
8,left,1,92,0.328675
8,left,1,93,0.332063
8,left,1,94,0.349987
8,left,1,95,0.363342
8,left,1,96,0.367724
8,left,1,97,0.382084
8,left,1,98,0.386944
8,left,1,99,0.389987
8,left,1,100,0.398442
8,left,1,101,0.424443
8,left,1,102,0.427513
8,left,1,103,0.443208
8,left,1,104,0.45671
8,left,1,105,0.462878
8,left,1,106,0.486759
8,left,1,107,0.492802
8,left,1,108,0.495149
8,left,1,109,0.521834
8,left,1,110,0.525107
8,left,1,111,0.541284
8,left,1,112,0.552692
8,left,1,113,0.564697
8,left,1,114,0.589632
8,left,1,115,0.600715
8,left,1,116,0.609747
8,left,1,117,0.619911
8,left,1,118,0.637562
8,left,2,1,0.732549
8,left,2,2,0.739665
8,left,2,3,0.694458
8,left,2,4,0.710488
8,left,2,5,0.660186
8,left,2,6,0.676717
8,left,2,7,0.652716
8,left,2,8,0.634256
8,left,2,9,0.634956
8,left,2,10,0.607755
8,left,2,11,0.600702
8,left,2,12,0.590445
8,left,2,13,0.570034
8,left,2,14,0.557179
8,left,2,15,0.558557
8,left,2,16,0.524253
8,left,2,17,0.54093
8,left,2,18,0.460611
8,left,2,19,0.461409
8,left,2,20,0.510201
8,left,2,21,0.462415
8,left,2,22,0.483008
8,left,2,23,0.456029
8,left,2,24,0.443675
8,left,2,25,0.3923
8,left,2,26,0.413485
8,left,2,27,0.384121
8,left,2,28,0.36919
8,left,2,29,0.317661
8,left,2,30,0.347073
8,left,2,31,0.341519
8,left,2,32,0.339319
8,left,2,33,0.302396
8,left,2,34,0.254773
8,left,2,35,0.268882
8,left,2,36,0.285965
8,left,2,37,0.28313
8,left,2,38,0.275541
8,left,2,39,0.259254
8,left,2,40,0.230435
8,left,2,41,0.234035
8,left,2,42,0.172319
8,left,2,43,0.219314
8,left,2,44,0.184088
8,left,2,45,0.189521
8,left,2,46,0.172765
8,left,2,47,0.16201
8,left,2,48,0.145481
8,left,2,49,0.13416
8,left,2,50,0.141286
8,left,2,51,0.124763
8,left,2,52,0.114956
8,left,2,53,0.103304
8,left,2,54,0.107707
8,left,2,55,0.0934281
8,left,2,56,0.0665478
8,left,2,57,0.0825379
8,left,2,58,0.0608109
8,left,2,59,0.0738595
8,left,2,60,0.00782618
8,left,2,61,0.0653011
8,left,2,62,0.0540745
8,left,2,63,0.077279
8,left,2,64,0.0689918
8,left,2,65,0.0753204
8,left,2,66,0.108717
8,left,2,67,0.0932517
8,left,2,68,0.11857
8,left,2,69,0.121316
8,left,2,70,0.125501
8,left,2,71,0.146865
8,left,2,72,0.14547
8,left,2,73,0.17085
8,left,2,74,0.181897
8,left,2,75,0.18999
8,left,2,76,0.195539
8,left,2,77,0.203731
8,left,2,78,0.221171
8,left,2,79,0.222498
8,left,2,80,0.247362
8,left,2,81,0.266224
8,left,2,82,0.28006
8,left,2,83,0.280597
8,left,2,84,0.299268
8,left,2,85,0.319191
8,left,2,86,0.321509
8,left,2,87,0.341123
8,left,2,88,0.344814
8,left,2,89,0.363729
8,left,2,90,0.381715
8,left,2,91,0.386074
8,left,2,92,0.399171
8,left,2,93,0.413306
8,left,2,94,0.430094
8,left,2,95,0.441125
8,left,2,96,0.452489
8,left,2,97,0.464501
8,left,2,98,0.467944
8,left,2,99,0.490647
8,left,2,100,0.501378
8,left,2,101,0.510638
8,left,2,102,0.542709
8,left,2,103,0.543827
