subject,hand,comparison,distance
8,left,D1_D2,0.08414195
8,left,D1_D3,0.163534
8,left,D1_D4,0.2019387
8,left,D1_D5,0.2136747
8,left,D2_D3,0.01717803
8,left,D2_D4,0.06100746
8,left,D2_D5,0.08767115
8,left,D3_D4,0.01813042
8,left,D3_D5,0.003841656
8,left,D4_D5,0.01364531
8,right,D1_D2,0.1659022
8,right,D1_D3,0.1902732
8,right,D1_D4,0.2632583
8,right,D1_D5,0.2540855
8,right,D2_D3,0.05106795
8,right,D2_D4,0.06813828
8,right,D2_D5,0.1310228
8,right,D3_D4,0.04006899
8,right,D3_D5,0.06926645
8,right,D4_D5,0.005888404
