subject,hand,comparison,distance
42,left,D1_D2,0.1586915
42,left,D1_D3,0.2762238
42,left,D1_D4,0.2238333
42,left,D1_D5,0.2237667
42,left,D2_D3,0.09639017
42,left,D2_D4,0.1764139
42,left,D2_D5,0.1981461
42,left,D3_D4,0.06194066
42,left,D3_D5,0.1422199
42,left,D4_D5,0.07909387
42,right,D1_D2,0.1788653
42,right,D1_D3,0.2256711
42,right,D1_D4,0.2476673
42,right,D1_D5,0.2143735
42,right,D2_D3,0.07094256
42,right,D2_D4,0.1668009
42,right,D2_D5,0.2286286
42,right,D3_D4,0.05948382
42,right,D3_D5,0.1524196
42,right,D4_D5,0.03933871
