subject,hand,trial,digit,absolute_error
42,left,1,D2,5.844095959887209
42,left,2,D1,2.7956989247311825
42,left,3,D5,2.1618378577408324
42,left,4,D2,8.902661026061015
42,left,5,D5,1.2628461048898525
42,left,6,D2,3.4614453707600243
42,left,7,D5,1.882554788255715
42,left,8,D4,4.29533243928012
42,left,9,D3,5.236278324575981
42,left,10,D3,3.703020391834747
42,left,11,D4,2.6481354985235046
42,left,12,D4,4.451330513030507
42,left,13,D5,3.293084347333205
42,left,14,D4,9.587709428575865
42,left,15,D2,3.010752688172043
42,left,16,D3,2.804400699596407
42,left,17,D1,2.0676011760226904
42,left,18,D3,7.894642141221664
42,left,19,D3,6.938138725668357
42,left,20,D5,3.0935806922201388
42,left,21,D2,3.2066964158115026
42,left,22,D4,3.0935806922201388
42,left,23,D2,6.913615791422989
42,left,24,D5,2.3205450935442458
42,left,25,D1,0.44150110375275936
42,left,26,D2,3.8772570285265875
42,left,27,D4,6.121829559141931
42,left,28,D3,5.8118978265856525
42,left,29,D4,5.328529517183776
42,left,30,D5,2.931829697680735
42,left,31,D1,4.060108202005319
42,left,32,D5,4.8128768470403545
42,left,33,D3,6.692615142725302
42,left,34,D3,8.066473015102089
42,left,35,D4,5.9104272677049
42,left,36,D2,3.4120445781297053
42,left,37,D5,4.543431196887412
42,left,38,D2,4.818702885537229
42,left,39,D4,5.067891697028867
42,left,40,D2,1.2903225806451613
42,left,41,D1,1.7060222890648526
42,left,42,D5,2.8303455093606495
42,left,43,D3,6.896609024606434
42,left,44,D5,4.5147472912987014
42,left,45,D2,6.980946452501597
42,left,46,D4,6.466701808316556
42,left,47,D1,0.4301075268817204
42,left,48,D2,4.570236095604205
42,left,49,D3,5.905457140132706
42,left,50,D3,3.5768193642956043
42,left,51,D4,4.8128768470403545
42,left,52,D5,6.240464783186336
42,left,53,D3,7.364952204262372
42,left,54,D4,5.180139092590037
42,left,55,D5,2.5250179326173097
42,left,56,D4,4.139341614047034
42,left,57,D3,7.745082042339779
42,left,58,D3,6.724889392614875
42,left,59,D2,7.456110401418359
42,left,60,D3,4.9771377465215965
42,left,61,D5,8.055399100809632
42,left,62,D3,5.067891697028867
42,left,63,D4,4.7773075996528656
42,left,64,D4,5.120504381455515
42,left,65,D4,6.271622370600663
42,left,66,D2,5.25626295131314
42,left,67,D5,3.0079127231393765
42,left,68,D2,4.521521009810514
42,left,69,D2,1.7345346814170892
42,left,70,D1,1.6446079145855195
42,left,71,D1,2.0327783408753968
42,left,72,D5,6.451612903225806
42,left,73,D5,2.664264758591888
42,left,74,D4,7.7702086388850535
42,left,75,D4,4.2324746775664375
42,left,76,D1,2.900696204366341
42,left,77,D2,11.742367060557536
42,left,78,D4,7.182093991870164
42,left,79,D4,5.537091723353746
42,left,80,D3,6.425144310096679
42,left,81,D3,4.849143535702221
42,left,82,D3,7.311827956989247
42,left,83,D2,2.365591397849462
42,left,84,D5,4.516129032258064
42,left,85,D5,2.417246836971951
42,left,86,D5,4.060108202005319
42,left,87,D3,8.183960544516742
42,left,88,D2,4.3907791297776075
42,left,89,D2,4.2114067203418735
42,left,90,D1,2.324759130634261
42,right,1,D2,3.137566676230929
42,right,2,D2,3.55235301145585
42,right,3,D5,9.352973499835093
42,right,4,D2,5.127557798855614
42,right,5,D1,7.944406495570513
42,right,6,D3,5.180139092590037
42,right,7,D1,2.6181391622879904
42,right,8,D5,3.1943296603944424
42,right,9,D3,31.052891272155414
42,right,10,D3,32.07402752678464
42,right,11,D4,5.594004400501576
42,right,12,D4,1.391364771622293
42,right,13,D5,2.0327783408753968
42,right,14,D4,2.727530448400306
42,right,15,D2,1.4732759795994912
42,right,16,D4,4.5147472912987014
42,right,17,D5,11.33696914538234
42,right,18,D3,4.849143535702221
42,right,19,D3,4.2114067203418735
42,right,20,D3,0.4301075268817204
42,right,21,D2,4.35176122086386
42,right,22,D3,3.289215829171039
42,right,23,D4,6.466701808316556
42,right,24,D4,4.5147472912987014
42,right,25,D5,9.619252160620897
42,right,26,D1,1.2903225806451613
42,right,27,D2,2.8303455093606495
42,right,28,D5,8.050505925207
42,right,29,D4,4.834493673943902
42,right,30,D1,1.86666228632202
42,right,31,D4,4.751737984246647
42,right,32,D2,4.858226096031415
42,right,33,D3,6.895868277655412
42,right,34,D5,14.267318396709975
42,right,35,D2,2.324759130634261
42,right,36,D5,10.976624544366377
42,right,37,D2,3.73332457264404
42,right,38,D3,3.504011454736323
42,right,39,D4,4.306736499274678
42,right,40,D3,4.8128768470403545
42,right,41,D5,1.5452538631346577
42,right,42,D2,2.1953895648888038
42,right,43,D2,2.3452946161005905
42,right,44,D2,2.869757174392936
42,right,45,D4,5.166008962450447
42,right,46,D5,9.333161043315139
42,right,47,D3,3.6071910190322614
42,right,48,D4,7.008022909472646
42,right,49,D1,4.436127324593631
42,right,50,D1,4.29533243928012
42,right,51,D3,6.615719954729626
42,right,52,D4,3.6869808842837757
42,right,53,D5,4.913084537014566
42,right,54,D5,0.6818826121000765
42,right,55,D2,5.067891697028867
42,right,56,D4,12.798991595282823
42,right,57,D5,4.649518261268522
42,right,58,D2,0.4301075268817204
42,right,59,D5,6.796320085777329
42,right,60,D5,5.547862175723622
42,right,61,D1,2.873066259787029
42,right,62,D3,3.973249843389118
42,right,63,D3,2.0456478363002293
42,right,64,D3,5.120504381455515
42,right,65,D4,7.053076320279819
42,right,66,D1,3.3444760668491926
42,right,67,D4,7.22711261110078
42,right,68,D2,4.569553457801535
42,right,69,D2,2.2490160293010204
42,right,70,D3,2.3758689921233236
42,right,71,D5,5.80099469164599
42,right,72,D4,6.481777649524367
42,right,73,D2,3.562164102496642
42,right,74,D5,3.9793252336265965
42,right,75,D3,3.447934138827706
42,right,76,D3,0.8880882528639625
42,right,77,D4,2.456542268507283
42,right,78,D5,4.091980272258371
42,right,79,D4,4.091295672600459
42,right,80,D3,10.833956430904076
42,right,81,D4,7.373961768567551
42,right,82,D2,4.3175610595852785
42,right,83,D4,6.271622370600663
42,right,84,D2,0.22075055187637968
42,right,85,D5,0.4910919931998304
42,right,86,D1,1.7060222890648526
42,right,87,D1,4.306736499274678
42,right,88,D2,3.9704010071483604
42,right,89,D3,3.818897376468179
42,right,90,D5,7.456110401418359
