subject,hand,comparison,distance
38,left,D1_D2,0.1524916
38,left,D1_D3,0.2846377
38,left,D1_D4,0.3011592
38,left,D1_D5,0.2123214
38,left,D2_D3,0.140164
38,left,D2_D4,0.2569175
38,left,D2_D5,0.1862556
38,left,D3_D4,0.0905563
38,left,D3_D5,0.1339582
38,left,D4_D5,0.02515743
38,right,D1_D2,0.1040691
38,right,D1_D3,0.2682299
38,right,D1_D4,0.4017243
38,right,D1_D5,0.5389732
38,right,D2_D3,0.0189494
38,right,D2_D4,0.1231488
38,right,D2_D5,0.3306615
38,right,D3_D4,0.06837412
38,right,D3_D5,0.3359376
38,right,D4_D5,0.036216
