subject,hand,comparison,distance
38,left,D1_D2,0.09968499
38,left,D1_D3,0.2883981
38,left,D1_D4,0.3334343
38,left,D1_D5,0.2557386
38,left,D2_D3,0.1214704
38,left,D2_D4,0.2503462
38,left,D2_D5,0.2169838
38,left,D3_D4,0.06881981
38,left,D3_D5,0.1033955
38,left,D4_D5,0.009929751
38,right,D1_D2,0.1704186
38,right,D1_D3,0.2864292
38,right,D1_D4,0.3596427
38,right,D1_D5,0.5077375
38,right,D2_D3,0.01301275
38,right,D2_D4,0.1344606
38,right,D2_D5,0.2779854
38,right,D3_D4,0.1016618
38,right,D3_D5,0.2577396
38,right,D4_D5,0.06105492
