subject,hand,hemisphere,fold,correlation_coefficient
41,left,right,1,0.8572726
41,left,right,2,0.2354505
41,left,right,3,0.01987593
41,left,right,4,0.4751232
41,left,right,5,0.7200056
41,right,left,1,0.9057032
41,right,left,2,0.4293083
41,right,left,3,0.7740006
41,right,left,4,0.913433
41,right,left,5,0.6771671
