subject,hand,comparison,volume_a,volume_b,overlap
41,left,D1_D2,2804,2869,1943
41,left,D1_D3,2804,3712,2209
41,left,D1_D4,2804,2722,1757
41,left,D1_D5,2804,2088,1392
41,left,D2_D3,2869,3712,2404
41,left,D2_D4,2869,2722,1935
41,left,D2_D5,2869,2088,1564
41,left,D3_D4,3712,2722,2374
41,left,D3_D5,3712,2088,1883
41,left,D4_D5,2722,2088,1759
41,right,D1_D2,1610,1408,849
41,right,D1_D3,1610,1673,932
41,right,D1_D4,1610,1468,789
41,right,D1_D5,1610,1667,835
41,right,D2_D3,1408,1673,1097
41,right,D2_D4,1408,1468,962
41,right,D2_D5,1408,1667,987
41,right,D3_D4,1673,1468,1237
41,right,D3_D5,1673,1667,1294
41,right,D4_D5,1468,1667,1192
