subject,hand,comparison,volume_a,volume_b,overlap
41,left,D1_D2,1373,1307,927
41,left,D1_D3,1373,2021,1241
41,left,D1_D4,1373,1598,989
41,left,D1_D5,1373,1180,612
41,left,D2_D3,1307,2021,1099
41,left,D2_D4,1307,1598,933
41,left,D2_D5,1307,1180,690
41,left,D3_D4,2021,1598,1328
41,left,D3_D5,2021,1180,790
41,left,D4_D5,1598,1180,824
41,right,D1_D2,520,276,146
41,right,D1_D3,520,302,124
41,right,D1_D4,520,251,55
41,right,D1_D5,520,344,62
41,right,D2_D3,276,302,129
41,right,D2_D4,276,251,71
41,right,D2_D5,276,344,50
41,right,D3_D4,302,251,136
41,right,D3_D5,302,344,100
41,right,D4_D5,251,344,118
