subject,hand,comparison,distance
22,left,D1_D2,0.3026755
22,left,D1_D3,0.3339849
22,left,D1_D4,0.5707492
22,left,D1_D5,0.5145146
22,left,D2_D3,0.05415486
22,left,D2_D4,0.2710721
22,left,D2_D5,0.3649764
22,left,D3_D4,0.08177359
22,left,D3_D5,0.2365064
22,left,D4_D5,0.09915119
22,right,D1_D2,0.08057146
22,right,D1_D3,0.3338265
22,right,D1_D4,0.3230089
22,right,D1_D5,0.3154914
22,right,D2_D3,0.06964608
22,right,D2_D4,0.1972487
22,right,D2_D5,0.2616815
22,right,D3_D4,0.1098987
22,right,D3_D5,0.1968242
22,right,D4_D5,0.04236573
