subject,hand,comparison,distance
22,left,D1_D2,0.4401374
22,left,D1_D3,0.3916524
22,left,D1_D4,0.7148848
22,left,D1_D5,0.7128581
22,left,D2_D3,0.1515655
22,left,D2_D4,0.4265218
22,left,D2_D5,0.4977074
22,left,D3_D4,0.1438385
22,left,D3_D5,0.3079336
22,left,D4_D5,0.1143754
22,right,D1_D2,0.1809049
22,right,D1_D3,0.3681032
22,right,D1_D4,0.3864772
22,right,D1_D5,0.4339522
22,right,D2_D3,0.08123149
22,right,D2_D4,0.2787021
22,right,D2_D5,0.299537
22,right,D3_D4,0.1267248
22,right,D3_D5,0.2335428
22,right,D4_D5,0.08474723
