subject,hand,comparison,volume_a,volume_b,overlap
22,left,D1_D2,1596,1525,667
22,left,D1_D3,1596,1411,482
22,left,D1_D4,1596,2456,709
22,left,D1_D5,1596,1177,276
22,left,D2_D3,1525,1411,835
22,left,D2_D4,1525,2456,1097
22,left,D2_D5,1525,1177,476
22,left,D3_D4,1411,2456,1254
22,left,D3_D5,1411,1177,669
22,left,D4_D5,2456,1177,1068
22,right,D1_D2,2474,1432,1101
22,right,D1_D3,2474,1493,919
22,right,D1_D4,2474,1295,715
22,right,D1_D5,2474,1376,805
22,right,D2_D3,1432,1493,832
22,right,D2_D4,1432,1295,650
22,right,D2_D5,1432,1376,746
22,right,D3_D4,1493,1295,798
22,right,D3_D5,1493,1376,830
22,right,D4_D5,1295,1376,810
