subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
22,left,D1,8146,-1.997,-0.4906,-0.1036,-0.1143,0.2932,2.168,0.3542,151,94,122,-61,-32,50
22,left,D1,8688,-0.7841,-0.1546,0.2559,0.1542,0.7274,6.283,0.4923,36,99,131,54,-27,59
22,left,D2,8146,-2.715,-0.9891,-0.4053,-0.3867,0.1375,2.235,0.4836,142,92,122,-52,-34,50
22,left,D2,8688,-1.406,-0.3803,0.1108,0.04959,0.6777,4.529,0.4794,38,98,131,52,-28,59
22,left,D3,8146,-2.252,-0.5909,-0.2002,-0.1895,0.173,1.277,0.3253,142,92,122,-52,-34,50
22,left,D3,8688,-1.569,-0.3419,0.09647,0.05041,0.5818,3.15,0.3915,40,108,137,50,-18,65
22,left,D4,8146,-2.581,-0.7623,-0.2594,-0.2407,0.2241,1.828,0.428,142,92,122,-52,-34,50
22,left,D4,8688,-1.255,-0.2749,0.2792,0.1512,0.9935,4.421,0.5618,41,92,135,49,-34,63
22,left,D5,8146,-3.523,-0.9933,-0.4061,-0.3787,0.1519,2.137,0.4872,142,92,122,-52,-34,50
22,left,D5,8688,-1.74,-0.4845,0.01351,-0.0213,0.5575,2.401,0.4375,45,102,141,45,-24,69
22,right,D1,8146,-0.4981,-0.01402,0.3804,0.3087,0.8524,3.735,0.3943,151,96,121,-61,-30,49
22,right,D1,8688,-1.201,-0.2362,0.03088,0.01319,0.3178,1.92,0.2429,41,90,122,49,-36,50
22,right,D2,8146,-0.8981,-0.1861,0.2148,0.1434,0.708,3.616,0.4068,145,91,126,-55,-35,54
22,right,D2,8688,-2.152,-0.4425,-0.1036,-0.09249,0.2267,1.85,0.3023,41,90,122,49,-36,50
22,right,D3,8146,-1.098,-0.2478,0.1631,0.1013,0.685,2.706,0.376,151,94,122,-61,-32,50
22,right,D3,8688,-1.569,-0.3682,-0.101,-0.105,0.1651,1.23,0.2291,40,91,123,50,-35,51
22,right,D4,8146,-2.061,-0.2664,0.1597,0.12,0.6593,2.652,0.3975,145,92,125,-55,-34,53
22,right,D4,8688,-2.777,-0.5776,-0.1793,-0.1464,0.1821,1.564,0.3484,41,90,122,49,-36,50
22,right,D5,8146,-1.687,-0.3283,0.1167,0.07949,0.6167,3.343,0.4112,145,91,126,-55,-35,54
22,right,D5,8688,-3.059,-0.7717,-0.2967,-0.2484,0.106,1.488,0.3957,38,91,125,52,-35,53
