subject,hand,comparison,distance
40,left,D1_D2,0.3153402
40,left,D1_D3,0.4244275
40,left,D1_D4,0.6100496
40,left,D1_D5,0.5855674
40,left,D2_D3,0.1544668
40,left,D2_D4,0.2292928
40,left,D2_D5,0.3389048
40,left,D3_D4,0.1262049
40,left,D3_D5,0.3022189
40,left,D4_D5,0.07048488
40,right,D1_D2,0.206503
40,right,D1_D3,0.3723337
40,right,D1_D4,0.4553763
40,right,D1_D5,0.4775664
40,right,D2_D3,-0.007631146
40,right,D2_D4,0.1821482
40,right,D2_D5,0.3835769
40,right,D3_D4,0.2044074
40,right,D3_D5,0.5259065
40,right,D4_D5,0.2813678
