subject,hand,comparison,volume_a,volume_b,overlap
40,left,D1_D2,1187,153,120
40,left,D1_D3,1187,834,362
40,left,D1_D4,1187,385,120
40,left,D1_D5,1187,572,141
40,left,D2_D3,153,834,131
40,left,D2_D4,153,385,52
40,left,D2_D5,153,572,70
40,left,D3_D4,834,385,229
40,left,D3_D5,834,572,271
40,left,D4_D5,385,572,208
40,right,D1_D2,1017,1135,444
40,right,D1_D3,1017,1953,659
40,right,D1_D4,1017,2705,737
40,right,D1_D5,1017,519,223
40,right,D2_D3,1135,1953,999
40,right,D2_D4,1135,2705,1021
40,right,D2_D5,1135,519,281
40,right,D3_D4,1953,2705,1697
40,right,D3_D5,1953,519,392
40,right,D4_D5,2705,519,479
