subject,hand,comparison,volume_a,volume_b,overlap
12,left,D1_D2,1293,1868,853
12,left,D1_D3,1293,1130,528
12,left,D1_D4,1293,1179,469
12,left,D1_D5,1293,1608,628
12,left,D2_D3,1868,1130,870
12,left,D2_D4,1868,1179,907
12,left,D2_D5,1868,1608,1067
12,left,D3_D4,1130,1179,759
12,left,D3_D5,1130,1608,868
12,left,D4_D5,1179,1608,966
12,right,D1_D2,1476,1377,884
12,right,D1_D3,1476,1198,783
12,right,D1_D4,1476,1178,630
12,right,D1_D5,1476,1226,665
12,right,D2_D3,1377,1198,867
12,right,D2_D4,1377,1178,779
12,right,D2_D5,1377,1226,745
12,right,D3_D4,1198,1178,827
12,right,D3_D5,1198,1226,839
12,right,D4_D5,1178,1226,858
