subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
12,left,D1,10087,-8.047,-0.683,-0.2445,-0.2148,0.2394,3.221,0.5575,155,104,104,-65,-22,32
12,left,D1,8622,-1.68,-0.6382,0.003138,-0.0682,0.717,5.658,0.5755,36,100,132,54,-26,60
12,left,D2,10087,-5.576,-0.6334,-0.2084,-0.2108,0.2689,4.145,0.5261,139,95,126,-49,-31,54
12,left,D2,8622,-1.338,-0.459,0.1962,0.09599,0.9097,8.262,0.6451,41,114,134,49,-12,62
12,left,D3,10087,-10.72,-0.7321,-0.2822,-0.2129,0.2114,2.269,0.6129,155,104,104,-65,-22,32
12,left,D3,8622,-1.62,-0.6118,0.000819,-0.04542,0.6749,4.996,0.548,41,114,134,49,-12,62
12,left,D4,10087,-8.13,-0.751,-0.3287,-0.256,0.1316,1.397,0.5429,150,102,108,-60,-24,36
12,left,D4,8622,-2.164,-0.6519,0.01198,-0.09938,0.7435,7.615,0.6811,41,114,134,49,-12,62
12,left,D5,10087,-7.238,-0.6827,-0.2689,-0.2135,0.1751,2.575,0.5147,139,95,126,-49,-31,54
12,left,D5,8622,-1.302,-0.4886,0.1349,0.01953,0.8579,7.358,0.6587,41,114,134,49,-12,62
12,right,D1,10087,-2.588,-0.5507,0.05524,-0.07573,0.7885,7.299,0.6854,139,95,127,-49,-31,55
12,right,D1,8622,-2.258,-0.4815,-0.1686,-0.1697,0.1663,1.334,0.2827,37,97,133,53,-29,61
12,right,D2,10087,-4.378,-0.4661,0.1199,0.0219,0.7639,6.912,0.6364,140,95,127,-50,-31,55
12,right,D2,8622,-1.412,-0.4125,-0.07892,-0.06345,0.2425,1.299,0.2753,54,116,143,36,-10,71
12,right,D3,10087,-7.504,-0.5933,0.01705,-0.07883,0.7007,7.032,0.672,140,95,127,-50,-31,55
12,right,D3,8622,-5.243,-0.551,-0.2039,-0.1809,0.1594,0.8207,0.3611,44,106,115,46,-20,43
12,right,D4,10087,-2.628,-0.579,0.000873,-0.1118,0.7292,5.511,0.6073,140,95,127,-50,-31,55
12,right,D4,8622,-2.702,-0.605,-0.216,-0.2068,0.1898,1.114,0.3469,28,119,115,62,-7,43
12,right,D5,10087,-2.322,-0.4297,0.08149,-0.02011,0.6604,6.961,0.5809,140,95,127,-50,-31,55
12,right,D5,8622,-2.088,-0.4207,-0.1216,-0.1081,0.1724,1.019,0.2655,28,118,113,62,-8,41
