subject,hand,comparison,distance
12,left,D1_D2,0.09810855
12,left,D1_D3,0.2062798
12,left,D1_D4,0.3265783
12,left,D1_D5,0.2829721
12,left,D2_D3,0.03444079
12,left,D2_D4,0.1280152
12,left,D2_D5,0.1399076
12,left,D3_D4,0.01898867
12,left,D3_D5,0.09157851
12,left,D4_D5,0.02591923
12,right,D1_D2,0.1565338
12,right,D1_D3,0.3038411
12,right,D1_D4,0.461444
12,right,D1_D5,0.4115981
12,right,D2_D3,0.063345
12,right,D2_D4,0.2264855
12,right,D2_D5,0.2699636
12,right,D3_D4,0.0423775
12,right,D3_D5,0.1690682
12,right,D4_D5,0.06620961
