subject,hand,hemisphere,fold,correlation_coefficient
12,left,right,1,0.8174392
12,left,right,2,0.3275445
12,left,right,3,0.7469676
12,left,right,4,0.3041238
12,left,right,5,0.5950748
12,right,left,1,0.6573483
12,right,left,2,0.5919832
12,right,left,3,0.6754013
12,right,left,4,0.1444169
12,right,left,5,0.5834743
