subject,hand,comparison,volume_a,volume_b,overlap
12,left,D1_D2,436,655,261
12,left,D1_D3,436,373,107
12,left,D1_D4,436,474,73
12,left,D1_D5,436,730,135
12,left,D2_D3,655,373,226
12,left,D2_D4,655,474,267
12,left,D2_D5,655,730,317
12,left,D3_D4,373,474,200
12,left,D3_D5,373,730,233
12,left,D4_D5,474,730,374
12,right,D1_D2,124,169,70
12,right,D1_D3,124,163,6
12,right,D1_D4,124,62,0
12,right,D1_D5,124,114,2
12,right,D2_D3,169,163,21
12,right,D2_D4,169,62,12
12,right,D2_D5,169,114,7
12,right,D3_D4,163,62,27
12,right,D3_D5,163,114,17
12,right,D4_D5,62,114,22
