subject,hand,comparison,distance
61,left,D1_D2,0.07686277
61,left,D1_D3,0.2528567
61,left,D1_D4,0.3663874
61,left,D1_D5,0.3238782
61,left,D2_D3,0.08905708
61,left,D2_D4,0.1811111
61,left,D2_D5,0.2343979
61,left,D3_D4,0.1550762
61,left,D3_D5,0.1740986
61,left,D4_D5,0.06037191
61,right,D1_D2,0.2728836
61,right,D1_D3,0.5182356
61,right,D1_D4,0.6193014
61,right,D1_D5,0.5733835
61,right,D2_D3,0.09012435
61,right,D2_D4,0.3899603
61,right,D2_D5,0.4208909
61,right,D3_D4,0.1077541
61,right,D3_D5,0.3538689
61,right,D4_D5,0.2289159
