subject,hand,comparison,volume_a,volume_b,overlap
61,left,D1_D2,1610,2774,932
61,left,D1_D3,1610,3317,888
61,left,D1_D4,1610,3429,850
61,left,D1_D5,1610,1789,463
61,left,D2_D3,2774,3317,2061
61,left,D2_D4,2774,3429,2034
61,left,D2_D5,2774,1789,1193
61,left,D3_D4,3317,3429,2454
61,left,D3_D5,3317,1789,1502
61,left,D4_D5,3429,1789,1557
61,right,D1_D2,937,668,433
61,right,D1_D3,937,832,397
61,right,D1_D4,937,953,384
61,right,D1_D5,937,2538,653
61,right,D2_D3,668,832,411
61,right,D2_D4,668,953,354
61,right,D2_D5,668,2538,589
61,right,D3_D4,832,953,500
61,right,D3_D5,832,2538,775
61,right,D4_D5,953,2538,936
