subject,hand,comparison,distance
52,left,D1_D2,0.247072
52,left,D1_D3,0.5921648
52,left,D1_D4,0.6124336
52,left,D1_D5,0.3990451
52,left,D2_D3,0.2966685
52,left,D2_D4,0.3463688
52,left,D2_D5,0.3026363
52,left,D3_D4,0.1850619
52,left,D3_D5,0.283196
52,left,D4_D5,0.06777629
52,right,D1_D2,0.2652375
52,right,D1_D3,0.3176438
52,right,D1_D4,0.3408085
52,right,D1_D5,0.3382051
52,right,D2_D3,0.1905896
52,right,D2_D4,0.2481132
52,right,D2_D5,0.2803133
52,right,D3_D4,0.1520903
52,right,D3_D5,0.2050261
52,right,D4_D5,0.0359946
