subject,hand,comparison,distance
52,left,D1_D2,0.1871479
52,left,D1_D3,0.432259
52,left,D1_D4,0.5199431
52,left,D1_D5,0.3872851
52,left,D2_D3,0.2255215
52,left,D2_D4,0.3214262
52,left,D2_D5,0.2996261
52,left,D3_D4,0.1213885
52,left,D3_D5,0.2591199
52,left,D4_D5,0.04334503
52,right,D1_D2,0.3333477
52,right,D1_D3,0.405633
52,right,D1_D4,0.4654604
52,right,D1_D5,0.477657
52,right,D2_D3,0.17746
52,right,D2_D4,0.2892366
52,right,D2_D5,0.3512458
52,right,D3_D4,0.1443569
52,right,D3_D5,0.3045329
52,right,D4_D5,0.05119904
