subject,hand,comparison,distance
20,left,D1_D2,0.1208243
20,left,D1_D3,0.2147141
20,left,D1_D4,0.2755254
20,left,D1_D5,0.3673726
20,left,D2_D3,0.03931338
20,left,D2_D4,0.05692614
20,left,D2_D5,0.1607557
20,left,D3_D4,0.05574124
20,left,D3_D5,0.1061177
20,left,D4_D5,0.04614993
20,right,D1_D2,0.1440755
20,right,D1_D3,0.1232058
20,right,D1_D4,0.1539011
20,right,D1_D5,0.07371961
20,right,D2_D3,0.1038432
20,right,D2_D4,0.1230174
20,right,D2_D5,0.1033815
20,right,D3_D4,0.07429882
20,right,D3_D5,0.0661944
20,right,D4_D5,0.05777304
