subject,hand,comparison,volume_a,volume_b,overlap
20,left,D1_D2,316,1735,102
20,left,D1_D3,316,902,72
20,left,D1_D4,316,409,40
20,left,D1_D5,316,1866,70
20,left,D2_D3,1735,902,580
20,left,D2_D4,1735,409,265
20,left,D2_D5,1735,1866,876
20,left,D3_D4,902,409,209
20,left,D3_D5,902,1866,714
20,left,D4_D5,409,1866,350
20,right,D1_D2,884,336,195
20,right,D1_D3,884,698,342
20,right,D1_D4,884,793,308
20,right,D1_D5,884,476,280
20,right,D2_D3,336,698,163
20,right,D2_D4,336,793,168
20,right,D2_D5,336,476,146
20,right,D3_D4,698,793,375
20,right,D3_D5,698,476,281
20,right,D4_D5,793,476,301
