subject,hand,comparison,volume_a,volume_b,overlap
20,left,D1_D2,264,1181,89
20,left,D1_D3,264,491,57
20,left,D1_D4,264,294,37
20,left,D1_D5,264,1048,57
20,left,D2_D3,1181,491,350
20,left,D2_D4,1181,294,219
20,left,D2_D5,1181,1048,523
20,left,D3_D4,491,294,158
20,left,D3_D5,491,1048,410
20,left,D4_D5,294,1048,256
20,right,D1_D2,635,292,153
20,right,D1_D3,635,417,196
20,right,D1_D4,635,358,154
20,right,D1_D5,635,180,131
20,right,D2_D3,292,417,128
20,right,D2_D4,292,358,120
20,right,D2_D5,292,180,101
20,right,D3_D4,417,358,196
20,right,D3_D5,417,180,117
20,right,D4_D5,358,180,122
