subject,hand,comparison,distance
55,left,D1_D2,0.5237359
55,left,D1_D3,0.8168639
55,left,D1_D4,0.8348762
55,left,D1_D5,0.6200185
55,left,D2_D3,0.2282791
55,left,D2_D4,0.5167577
55,left,D2_D5,0.5162866
55,left,D3_D4,0.121387
55,left,D3_D5,0.3573995
55,left,D4_D5,0.03742775
55,right,D1_D2,0.2368795
55,right,D1_D3,0.3536224
55,right,D1_D4,0.2620528
55,right,D1_D5,0.3641993
55,right,D2_D3,0.1982871
55,right,D2_D4,0.1416328
55,right,D2_D5,0.3364506
55,right,D3_D4,0.08698498
55,right,D3_D5,0.1195789
55,right,D4_D5,0.0524309
