subject,hand,comparison,volume_a,volume_b,overlap
55,left,D1_D2,1089,1476,714
55,left,D1_D3,1089,1818,732
55,left,D1_D4,1089,1086,520
55,left,D1_D5,1089,603,375
55,left,D2_D3,1476,1818,1080
55,left,D2_D4,1476,1086,729
55,left,D2_D5,1476,603,450
55,left,D3_D4,1818,1086,888
55,left,D3_D5,1818,603,525
55,left,D4_D5,1086,603,468
55,right,D1_D2,2736,1634,1190
55,right,D1_D3,2736,2089,1507
55,right,D1_D4,2736,2137,1427
55,right,D1_D5,2736,2086,1454
55,right,D2_D3,1634,2089,1093
55,right,D2_D4,1634,2137,1126
55,right,D2_D5,1634,2086,1169
55,right,D3_D4,2089,2137,1490
55,right,D3_D5,2089,2086,1521
55,right,D4_D5,2137,2086,1435
