subject,hand,comparison,distance
57,left,D1_D2,0.01211096
57,left,D1_D3,0.06845649
57,left,D1_D4,0.08713123
57,left,D1_D5,0.04670785
57,left,D2_D3,0.05262645
57,left,D2_D4,0.1014645
57,left,D2_D5,0.06041322
57,left,D3_D4,0.03352621
57,left,D3_D5,0.07047909
57,left,D4_D5,0.02998121
57,right,D1_D2,0.09937449
57,right,D1_D3,0.3075156
57,right,D1_D4,0.2949168
57,right,D1_D5,0.2383168
57,right,D2_D3,0.1406046
57,right,D2_D4,0.2524566
57,right,D2_D5,0.2333767
57,right,D3_D4,0.1488455
57,right,D3_D5,0.295406
57,right,D4_D5,0.128869
