subject,hand,comparison,volume_a,volume_b,overlap
57,left,D1_D2,337,421,178
57,left,D1_D3,337,960,197
57,left,D1_D4,337,978,204
57,left,D1_D5,337,370,107
57,left,D2_D3,421,960,312
57,left,D2_D4,421,978,306
57,left,D2_D5,421,370,149
57,left,D3_D4,960,978,560
57,left,D3_D5,960,370,235
57,left,D4_D5,978,370,288
57,right,D1_D2,197,792,109
57,right,D1_D3,197,1076,117
57,right,D1_D4,197,866,93
57,right,D1_D5,197,493,51
57,right,D2_D3,792,1076,422
57,right,D2_D4,792,866,260
57,right,D2_D5,792,493,150
57,right,D3_D4,1076,866,489
57,right,D3_D5,1076,493,214
57,right,D4_D5,866,493,255
