subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
57,left,D1,7309,-1.881,-0.3105,0.009445,0.01586,0.3288,1.046,0.2619,153,99,117,-63,-27,45
57,left,D1,7340,-0.8586,-0.1668,0.153,0.133,0.4866,1.738,0.2729,46,106,140,44,-20,68
57,left,D2,7309,-1.723,-0.4813,-0.1557,-0.1499,0.1943,0.828,0.2883,136,108,107,-46,-18,35
57,left,D2,7340,-1.101,-0.3197,0.09247,0.05145,0.5518,2.555,0.3669,49,103,141,41,-23,69
57,left,D3,7309,-1.746,-0.42,-0.08537,-0.07889,0.2483,1.029,0.2823,138,90,117,-48,-36,45
57,left,D3,7340,-1.174,-0.1804,0.2653,0.2074,0.7515,3.525,0.4301,40,110,134,50,-16,62
57,left,D4,7309,-0.9765,-0.3047,-0.006572,-0.006644,0.2916,1.419,0.2491,132,90,111,-42,-36,39
57,left,D4,7340,-0.8816,-0.1599,0.2877,0.2133,0.8214,4.002,0.4412,46,106,140,44,-20,68
57,left,D5,7309,-1.345,-0.3823,-0.07927,-0.07013,0.2061,0.9276,0.245,138,109,119,-48,-17,47
57,left,D5,7340,-0.9867,-0.2293,0.1529,0.1156,0.5748,1.877,0.3307,49,102,141,41,-24,69
57,right,D1,7309,-0.9007,-0.0978,0.2861,0.2293,0.7203,2.944,0.3815,140,108,115,-50,-18,43
57,right,D1,7340,-1.033,-0.2111,0.06962,0.06391,0.3541,1.148,0.2252,40,110,134,50,-16,62
57,right,D2,7309,-0.8233,-0.1094,0.336,0.2892,0.8239,3.007,0.3924,148,109,124,-58,-17,52
57,right,D2,7340,-1.065,-0.2636,0.05989,0.04875,0.3971,1.31,0.2631,49,108,133,41,-18,61
57,right,D3,7309,-1.392,-0.2424,0.2719,0.2119,0.8602,3.044,0.4683,138,90,117,-48,-36,45
57,right,D3,7340,-1.603,-0.4472,-0.1169,-0.1199,0.2321,1.082,0.2767,54,113,146,36,-13,74
57,right,D4,7309,-1.669,-0.4833,0.07168,0.02045,0.7187,2.759,0.4808,135,102,135,-45,-24,63
57,right,D4,7340,-1.368,-0.5777,-0.2119,-0.2311,0.1899,1.053,0.3063,55,113,147,35,-13,75
57,right,D5,7309,-1.789,-0.2922,0.1082,0.07404,0.5697,1.74,0.3638,138,90,117,-48,-36,45
57,right,D5,7340,-1.313,-0.3376,-0.02447,-0.02138,0.2941,0.84,0.2494,31,109,117,59,-17,45
