subject,hand,comparison,distance
5,left,D1_D2,0.04219926
5,left,D1_D3,0.07486199
5,left,D1_D4,0.07062891
5,left,D1_D5,0.1862294
5,left,D2_D3,0.02103747
5,left,D2_D4,-0.004058036
5,left,D2_D5,0.05373902
5,left,D3_D4,0.03036513
5,left,D3_D5,0.01280718
5,left,D4_D5,0.004089202
5,right,D1_D2,0.1167634
5,right,D1_D3,0.213429
5,right,D1_D4,0.1428784
5,right,D1_D5,0.2274604
5,right,D2_D3,-0.0243612
5,right,D2_D4,0.1845123
5,right,D2_D5,0.124804
5,right,D3_D4,0.06803422
5,right,D3_D5,0.03742743
5,right,D4_D5,0.167978
