subject,hand,comparison,distance
5,left,D1_D2,0.07186804
5,left,D1_D3,0.1081933
5,left,D1_D4,0.09024984
5,left,D1_D5,0.1976199
5,left,D2_D3,0.03095343
5,left,D2_D4,-0.003147006
5,left,D2_D5,0.07778641
5,left,D3_D4,0.04254112
5,left,D3_D5,0.05524933
5,left,D4_D5,0.02176061
5,right,D1_D2,0.07884888
5,right,D1_D3,0.11936
5,right,D1_D4,0.09614158
5,right,D1_D5,0.1580071
5,right,D2_D3,-0.03337339
5,right,D2_D4,0.08067095
5,right,D2_D5,0.1165348
5,right,D3_D4,0.02139474
5,right,D3_D5,-0.02288207
5,right,D4_D5,0.1017691
