subject,hand,comparison,volume_a,volume_b,overlap
5,left,D1_D2,1990,2258,1141
5,left,D1_D3,1990,1699,986
5,left,D1_D4,1990,1501,911
5,left,D1_D5,1990,1792,802
5,left,D2_D3,2258,1699,1195
5,left,D2_D4,2258,1501,1071
5,left,D2_D5,2258,1792,1151
5,left,D3_D4,1699,1501,819
5,left,D3_D5,1699,1792,1009
5,left,D4_D5,1501,1792,835
5,right,D1_D2,527,533,160
5,right,D1_D3,527,993,240
5,right,D1_D4,527,85,17
5,right,D1_D5,527,1573,302
5,right,D2_D3,533,993,381
5,right,D2_D4,533,85,50
5,right,D2_D5,533,1573,439
5,right,D3_D4,993,85,66
5,right,D3_D5,993,1573,806
5,right,D4_D5,85,1573,77
