subject,hand,comparison,volume_a,volume_b,overlap
5,left,D1_D2,1568,1388,717
5,left,D1_D3,1568,1364,798
5,left,D1_D4,1568,802,464
5,left,D1_D5,1568,927,387
5,left,D2_D3,1388,1364,904
5,left,D2_D4,1388,802,578
5,left,D2_D5,1388,927,599
5,left,D3_D4,1364,802,564
5,left,D3_D5,1364,927,614
5,left,D4_D5,802,927,409
5,right,D1_D2,284,365,62
5,right,D1_D3,284,429,66
5,right,D1_D4,284,13,1
5,right,D1_D5,284,1013,128
5,right,D2_D3,365,429,100
5,right,D2_D4,365,13,1
5,right,D2_D5,365,1013,198
5,right,D3_D4,429,13,6
5,right,D3_D5,429,1013,323
5,right,D4_D5,13,1013,8
