subject,hand,trial,digit,absolute_error
15,left,1,D3,9.503475968493294
15,left,2,D3,5.024435191882825
15,left,3,D2,2.62813147565657
15,left,4,D4,2.4064384235201772
15,left,5,D3,1.5687833381154646
15,left,6,D4,6.796966489984968
15,left,7,D5,3.867594939155121
15,left,8,D3,7.053076320279819
15,left,9,D2,6.895868277655412
15,left,10,D5,2.228086167233985
15,left,11,D5,9.034955259998268
15,left,12,D2,3.9704010071483604
15,left,13,D1,4.869579841067865
15,left,14,D2,4.0252529626035
15,left,15,D4,6.485513573222497
15,left,16,D1,7.341757645686289
15,left,17,D4,4.518140470460722
15,left,18,D5,6.58616869466641
15,left,19,D5,1.7345346814170892
15,left,20,D2,4.78339979916182
15,left,21,D4,25.983755127070456
15,left,22,D5,5.660691018721299
15,left,23,D4,4.139341614047034
15,left,24,D2,4.649052762643946
15,left,25,D3,7.162769811784484
15,left,26,D3,4.160877589716406
15,left,27,D3,6.843409526396694
15,left,28,D1,4.99037406958181
15,left,29,D4,3.504011454736323
15,left,30,D2,1.1245080146505102
15,left,31,D1,4.38825174569759
15,left,32,D4,7.745082042339779
15,left,33,D5,3.5768193642956043
15,left,34,D5,7.642529519398602
15,left,35,D2,2.5761206267025054
15,left,36,D3,5.610926143259021
15,left,37,D2,7.153638728591209
15,left,38,D5,2.4064384235201772
15,left,39,D2,0.9821839863996608
15,left,40,D4,2.6181391622879904
15,left,41,D3,8.459412654169967
15,left,42,D1,4.714897183663127
15,left,43,D4,6.757419226175596
15,left,44,D3,2.3205450935442458
15,left,45,D4,1.7452366131253993
15,left,46,D5,7.578498619898569
15,left,47,D1,1.4732759795994912
15,left,48,D2,1.9983601826552437
15,left,49,D5,6.545369752923587
15,left,50,D5,0.9668987347887803
15,left,51,D2,4.951160157490839
15,left,52,D3,6.382171763523999
15,left,53,D3,6.2119208742835
15,left,54,D4,8.387096774193548
15,left,55,D5,7.843916690577323
15,left,56,D3,1.399371320473731
15,left,57,D4,6.236559139784946
15,left,58,D4,5.024435191882825
15,left,59,D3,3.562164102496642
15,left,60,D5,5.533497708167703
15,left,61,D2,2.9759548550819495
15,left,62,D5,4.109804735874062
15,left,63,D2,6.768291143521462
15,left,64,D3,5.933879440081689
15,left,65,D4,1.0976947824444019
15,left,66,D5,2.6181391622879904
15,left,67,D3,8.571007169144494
15,left,68,D1,6.292992484375781
15,left,69,D1,4.680440001145613
15,left,70,D4,3.6775805711236162
15,left,71,D2,2.6200895802652915
15,left,72,D2,6.88526011740392
15,left,73,D4,3.3444760668491926
15,left,74,D4,3.8594346332683087
15,left,75,D5,6.481777649524367
15,left,76,D1,8.413294074053951
15,left,77,D3,7.456110401418359
15,left,78,D2,6.734013134038219
15,left,79,D3,6.545369752923587
15,left,80,D4,9.953858274544954
15,left,81,D2,3.0935806922201388
15,left,82,D5,2.1953895648888038
15,left,83,D5,4.521521009810514
15,left,84,D2,6.466701808316556
15,left,85,D3,4.939197911871102
15,left,86,D5,2.3691877414198013
15,left,87,D4,2.804400699596407
15,left,88,D2,1.1623795653171305
15,left,89,D1,4.8128768470403545
15,left,90,D3,3.0079127231393765
15,right,1,D5,38.20591486058377
15,right,2,D4,4.7773075996528656
15,right,3,D5,6.021505376344086
15,right,4,D4,12.11562697555917
15,right,5,D5,8.005833546876657
15,right,6,D1,5.964143342277789
15,right,7,D4,6.956409975188083
15,right,8,D3,8.464949355132875
15,right,9,D2,7.642529519398602
15,right,10,D2,8.120216404010637
15,right,11,D3,8.613472998549357
15,right,12,D4,9.582603751868646
15,right,13,D3,5.291280401260416
15,right,14,D5,7.843916690577323
15,right,15,D2,1.2784769236767053
15,right,16,D3,5.952284224023528
15,right,17,D2,2.1573055970043695
15,right,18,D1,2.9959099083084872
15,right,19,D4,9.28937398008783
15,right,20,D4,3.551514993311438
15,right,21,D3,11.33696914538234
15,right,22,D2,2.7264389185652536
15,right,23,D1,2.9959099083084872
15,right,24,D4,6.818863303571467
15,right,25,D4,6.4553884359675395
15,right,26,D3,1.1245080146505102
15,right,27,D2,7.3948259680564785
15,right,28,D5,7.008022909472646
15,right,29,D3,5.563948960913242
15,right,30,D5,2.804400699596407
15,right,31,D1,5.964143342277789
15,right,32,D2,8.736905915466997
15,right,33,D2,1.9643679727993215
15,right,34,D3,9.203285138354408
15,right,35,D5,3.7610370799304818
15,right,36,D5,8.055399100809632
15,right,37,D5,1.2628461048898525
15,right,38,D1,2.3452946161005905
15,right,39,D5,7.110494158553908
15,right,40,D3,4.342436540201411
15,right,41,D4,10.650330907107467
15,right,42,D3,3.4297416486077945
15,right,43,D2,7.09513016012006
15,right,44,D5,6.201315484429796
15,right,45,D2,3.9683920346343884
15,right,46,D2,2.2179559816512806
15,right,47,D5,3.447934138827706
15,right,48,D1,3.851385278556232
15,right,49,D2,7.153638728591209
15,right,50,D3,10.504099712552135
15,right,51,D3,7.745082042339779
15,right,52,D4,4.913084537014566
15,right,53,D4,3.0079127231393765
15,right,54,D4,6.974277391902783
15,right,55,D5,1.6446079145855195
15,right,56,D3,5.161290322580645
15,right,57,D4,1.7345346814170892
15,right,58,D4,7.735189878310242
15,right,59,D4,31.364065489267595
15,right,60,D5,6.818826121000765
15,right,61,D3,1.7790502283546
15,right,62,D1,2.9277990736147808
15,right,63,D2,8.005833546876657
15,right,64,D3,11.140430836169923
15,right,65,D5,3.927208743431985
15,right,66,D5,8.672673407085446
15,right,67,D2,2.7736786247199037
15,right,68,D3,3.3444760668491926
15,right,69,D2,3.635251891420338
15,right,70,D1,6.92722944206288
15,right,71,D4,8.59066487856024
15,right,72,D2,7.061097739631108
15,right,73,D3,4.570236095604205
15,right,74,D2,2.5900695462950183
15,right,75,D4,4.649052762643946
15,right,76,D3,4.091295672600459
15,right,77,D4,8.172043010752688
15,right,78,D5,2.5806451612903225
15,right,79,D3,11.233333908861267
15,right,80,D2,8.459412654169967
15,right,81,D5,1.7060222890648526
15,right,82,D5,7.637794752936358
15,right,83,D2,6.615719954729626
15,right,84,D1,5.298013245033112
15,right,85,D3,6.545347905719975
15,right,86,D2,2.1573055970043695
15,right,87,D4,8.951586517954947
15,right,88,D1,2.901809560370914
15,right,89,D4,4.091295672600459
15,right,90,D5,8.390001376986868
