subject,hand,comparison,distance
23,left,D1_D2,0.4430302
23,left,D1_D3,0.7585232
23,left,D1_D4,0.5108559
23,left,D1_D5,0.3794992
23,left,D2_D3,0.3318366
23,left,D2_D4,0.4686767
23,left,D2_D5,0.4947662
23,left,D3_D4,0.1933809
23,left,D3_D5,0.3173606
23,left,D4_D5,0.131171
23,right,D1_D2,0.5948995
23,right,D1_D3,0.7380924
23,right,D1_D4,0.6403205
23,right,D1_D5,0.8170704
23,right,D2_D3,0.534457
23,right,D2_D4,0.6399008
23,right,D2_D5,0.9125844
23,right,D3_D4,0.2306327
23,right,D3_D5,0.448492
23,right,D4_D5,0.1574373
