subject,hand,comparison,volume_a,volume_b,overlap
23,left,D1_D2,766,896,479
23,left,D1_D3,766,811,352
23,left,D1_D4,766,720,314
23,left,D1_D5,766,397,236
23,left,D2_D3,896,811,470
23,left,D2_D4,896,720,371
23,left,D2_D5,896,397,252
23,left,D3_D4,811,720,500
23,left,D3_D5,811,397,349
23,left,D4_D5,720,397,336
23,right,D1_D2,984,1577,707
23,right,D1_D3,984,1228,517
23,right,D1_D4,984,1096,435
23,right,D1_D5,984,811,300
23,right,D2_D3,1577,1228,903
23,right,D2_D4,1577,1096,676
23,right,D2_D5,1577,811,439
23,right,D3_D4,1228,1096,780
23,right,D3_D5,1228,811,532
23,right,D4_D5,1096,811,662
