subject,hand,comparison,distance
23,left,D1_D2,0.5483078
23,left,D1_D3,0.9645063
23,left,D1_D4,0.6767071
23,left,D1_D5,0.5579282
23,left,D2_D3,0.3888693
23,left,D2_D4,0.4792333
23,left,D2_D5,0.52066
23,left,D3_D4,0.1576818
23,left,D3_D5,0.3521508
23,left,D4_D5,0.1404707
23,right,D1_D2,0.64092
23,right,D1_D3,0.8251902
23,right,D1_D4,0.7065436
23,right,D1_D5,0.9575704
23,right,D2_D3,0.4247188
23,right,D2_D4,0.4975336
23,right,D2_D5,0.7636663
23,right,D3_D4,0.2076033
23,right,D3_D5,0.4132657
23,right,D4_D5,0.1463249
