subject,hand,digit,hemisphere,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
23,left,D1,left,9893,-1.665,-0.4549,-0.01596,-0.08006,0.4963,5.129,0.4408,143,86,128,-53,-40,56
23,left,D1,right,7500,-15.37,-0.5902,0.145,0.03729,1.012,7.003,0.7887,45,106,136,45,-20,64
23,left,D2,left,9893,-1.674,-0.3791,-0.02842,-0.06106,0.375,2.541,0.3281,149,107,125,-59,-19,53
23,left,D2,right,7500,-13.72,-0.3737,0.2098,0.08233,0.9296,10.25,0.7252,45,106,136,45,-20,64
23,left,D3,left,9893,-1.314,-0.4134,-0.04704,-0.09378,0.382,2.77,0.3459,141,89,134,-51,-37,62
23,left,D3,right,7500,-4.136,-0.6888,0.09687,-0.0178,0.9572,12.99,0.8208,45,106,136,45,-20,64
23,left,D4,left,9893,-4.02,-0.5771,-0.1604,-0.1617,0.2823,1.835,0.3811,140,110,133,-50,-16,61
23,left,D4,right,7500,-7.011,-0.5253,0.1248,0.01527,0.8524,10.45,0.6987,45,106,136,45,-20,64
23,left,D5,left,9893,-2.436,-0.5271,-0.1326,-0.142,0.2878,2.137,0.359,143,86,128,-53,-40,56
23,left,D5,right,7500,-5.606,-0.6722,-0.03309,-0.09828,0.6347,9.246,0.6667,45,106,136,45,-20,64
23,right,D1,left,9893,-3.41,-0.2884,0.2857,0.1879,0.9958,4.338,0.5819,143,86,128,-53,-40,56
23,right,D1,right,7496,-4.847,-0.4512,-0.08357,-0.08829,0.2992,3.094,0.3776,41,110,134,49,-16,62
23,right,D2,left,9893,-0.6886,-0.115,0.7256,0.5189,1.791,8.03,0.9192,132,107,139,-42,-19,67
23,right,D2,right,7496,-6.035,-0.6216,0.04882,-0.1262,0.9637,7.867,0.799,39,111,132,51,-15,60
23,right,D3,left,9893,-1.71,-0.3118,0.3811,0.2848,1.192,5.441,0.6631,144,98,133,-54,-28,61
23,right,D3,right,7496,-5.319,-0.4394,-0.05947,-0.08762,0.3961,1.853,0.3598,44,96,137,46,-30,65
23,right,D4,left,9893,-2.13,-0.3231,0.337,0.2307,1.095,5.508,0.6488,141,107,134,-51,-19,62
23,right,D4,right,7496,-5.939,-0.5785,-0.1858,-0.2208,0.279,2.675,0.3849,41,110,134,49,-16,62
23,right,D5,left,9893,-2.078,-0.5419,0.191,0.09255,1.008,7.391,0.6926,141,107,134,-51,-19,62
23,right,D5,right,7496,-6.23,-0.7099,-0.2523,-0.2404,0.2166,2.195,0.4328,41,109,134,49,-17,62
