subject,hand,run,volume,displacement
37,left,1,1,0.442289
37,left,1,2,0.418651
37,left,1,3,0.410386
37,left,1,4,0.428721
37,left,1,5,0.420169
37,left,1,6,0.392561
37,left,1,7,0.381664
37,left,1,8,0.370933
37,left,1,9,0.363044
37,left,1,10,0.358523
37,left,1,11,0.368917
37,left,1,12,0.363089
37,left,1,13,0.353492
37,left,1,14,0.340198
37,left,1,15,0.339846
37,left,1,16,0.320297
37,left,1,17,0.302902
37,left,1,18,0.297992
37,left,1,19,0.296819
37,left,1,20,0.291855
37,left,1,21,0.23088
37,left,1,22,0.251743
37,left,1,23,0.221667
37,left,1,24,0.227378
37,left,1,25,0.220759
37,left,1,26,0.218101
37,left,1,27,0.204257
37,left,1,28,0.200545
37,left,1,29,0.198346
37,left,1,30,0.189257
37,left,1,31,0.186276
37,left,1,32,0.189705
37,left,1,33,0.18248
37,left,1,34,0.163677
37,left,1,35,0.16658
37,left,1,36,0.162103
37,left,1,37,0.166546
37,left,1,38,0.157037
37,left,1,39,0.122574
37,left,1,40,0.140159
37,left,1,41,0.143791
37,left,1,42,0.143428
37,left,1,43,0.134259
37,left,1,44,0.112057
37,left,1,45,0.0935936
37,left,1,46,0.101022
37,left,1,47,0.0999437
37,left,1,48,0.0787343
37,left,1,49,0.0923805
37,left,1,50,0.0857118
37,left,1,51,0.0550259
37,left,1,52,0.0619711
37,left,1,53,0.0797478
37,left,1,54,0.0725888
37,left,1,55,0.0659577
37,left,1,56,0.0612984
37,left,1,57,0.0541451
37,left,1,58,0.0686911
37,left,1,59,0.055625
37,left,1,60,0.00465738
37,left,1,61,0.0380732
37,left,1,62,0.0561825
37,left,1,63,0.0720604
37,left,1,64,0.0843698
37,left,1,65,0.0726924
37,left,1,66,0.0696235
37,left,1,67,0.0743285
37,left,1,68,0.0869383
37,left,1,69,0.102121
37,left,1,70,0.105976
37,left,1,71,0.130253
37,left,1,72,0.135079
37,left,1,73,0.123639
37,left,1,74,0.140967
37,left,1,75,0.161369
37,left,1,76,0.16751
37,left,1,77,0.179241
37,left,1,78,0.16787
37,left,1,79,0.174646
37,left,1,80,0.202266
37,left,1,81,0.211498
37,left,1,82,0.207568
37,left,1,83,0.194706
37,left,1,84,0.204804
37,left,1,85,0.223235
37,left,1,86,0.245036
37,left,1,87,0.262326
37,left,1,88,0.263256
37,left,1,89,0.278307
37,left,1,90,0.300215
37,left,1,91,0.284509
37,left,1,92,0.277278
37,left,1,93,0.277392
37,left,1,94,0.287722
37,left,1,95,0.290352
37,left,1,96,0.31246
37,left,1,97,0.304577
37,left,1,98,0.292564
37,left,1,99,0.304046
37,left,1,100,0.31099
37,left,1,101,0.315439
37,left,1,102,0.333896
37,left,1,103,0.341686
37,left,1,104,0.359688
37,left,1,105,0.368626
37,left,1,106,0.372661
37,left,1,107,0.372785
37,left,1,108,0.371443
37,left,1,109,0.39014
37,left,1,110,0.393871
37,left,1,111,0.405764
37,left,1,112,0.425303
37,left,1,113,0.423424
37,left,1,114,0.442993
37,left,1,115,0.456739
37,left,1,116,0.478048
37,left,1,117,0.495677
37,left,1,118,0.488421
37,left,2,1,0.620946
37,left,2,2,0.615045
37,left,2,3,0.568018
37,left,2,4,0.568956
37,left,2,5,0.590246
37,left,2,6,0.576665
37,left,2,7,0.590335
37,left,2,8,0.556578
37,left,2,9,0.54252
37,left,2,10,0.555253
37,left,2,11,0.549639
37,left,2,12,0.546943
37,left,2,13,0.523932
37,left,2,14,0.509821
37,left,2,15,0.502739
37,left,2,16,0.505146
37,left,2,17,0.491646
37,left,2,18,0.465626
37,left,2,19,0.441362
37,left,2,20,0.422689
37,left,2,21,0.417836
37,left,2,22,0.413363
37,left,2,23,0.402069
37,left,2,24,0.382588
37,left,2,25,0.358686
37,left,2,26,0.353654
37,left,2,27,0.361319
37,left,2,28,0.348914
37,left,2,29,0.319885
37,left,2,30,0.317515
37,left,2,31,0.307442
37,left,2,32,0.308974
37,left,2,33,0.296704
37,left,2,34,0.287456
37,left,2,35,0.262229
37,left,2,36,0.253584
37,left,2,37,0.231887
37,left,2,38,0.240573
37,left,2,39,0.252055
37,left,2,40,0.221178
37,left,2,41,0.208029
37,left,2,42,0.214608
37,left,2,43,0.198316
37,left,2,44,0.199582
37,left,2,45,0.173789
37,left,2,46,0.150931
37,left,2,47,0.131884
37,left,2,48,0.130751
37,left,2,49,0.111673
37,left,2,50,0.115029
37,left,2,51,0.0928531
37,left,2,52,0.0864304
37,left,2,53,0.0951608
37,left,2,54,0.0884115
37,left,2,55,0.0776243
37,left,2,56,0.0654034
37,left,2,57,0.0597718
37,left,2,58,0.0631347
37,left,2,59,0.0566134
37,left,2,60,0.00905218
37,left,2,61,0.0594926
37,left,2,62,0.0774303
37,left,2,63,0.0627927
37,left,2,64,0.0721217
