subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
37,left,D1,7433,-3.004,-0.4488,-0.09627,-0.08659,0.2624,2.225,0.3366,147,99,121,-57,-27,49
37,left,D1,8056,-0.7271,-0.04807,0.6392,0.442,1.413,19.61,0.9523,41,112,133,49,-14,61
37,left,D2,7433,-2.144,-0.5001,-0.1418,-0.1419,0.1964,1.666,0.2991,147,99,121,-57,-27,49
37,left,D2,8056,-0.9806,-0.1335,0.5893,0.3722,1.332,25.49,1.146,41,112,133,49,-14,61
37,left,D3,7433,-2.11,-0.3166,0.03854,0.01774,0.3916,3.228,0.3381,147,99,121,-57,-27,49
37,left,D3,8056,-3.499,0.006071,0.6072,0.4101,1.31,20.81,0.9512,41,112,133,49,-14,61
37,left,D4,7433,-3.829,-0.6984,-0.2933,-0.2505,0.08106,1.756,0.3656,132,86,136,-42,-40,64
37,left,D4,8056,-1.117,-0.2924,0.3159,0.1862,0.9142,17.96,0.8275,41,112,133,49,-14,61
37,left,D5,7433,-2.954,-0.4547,-0.06147,-0.09801,0.3935,3.173,0.3885,147,99,121,-57,-27,49
37,left,D5,8056,-2.735,-0.02028,0.8311,0.5648,1.772,26.1,1.283,41,112,133,49,-14,61
37,right,D1,7433,-1.948,-0.1436,0.3483,0.2611,0.9347,5.31,0.5018,146,98,121,-56,-28,49
37,right,D1,8055,-1.336,-0.2818,0.07917,0.04114,0.4715,3.594,0.34,42,114,132,48,-12,60
37,right,D2,7433,-1.608,-0.1648,0.3448,0.2301,1.008,5.534,0.5559,138,90,132,-48,-36,60
37,right,D2,8055,-5.001,-0.4006,-0.04839,-0.09306,0.3605,2.627,0.3629,41,112,133,49,-14,61
37,right,D3,7433,-2.647,-0.1226,0.6988,0.5191,1.658,10.5,0.889,136,88,134,-46,-38,62
37,right,D3,8055,-1.415,-0.3705,0.2005,0.04185,0.8831,9.579,0.6601,40,113,132,50,-13,60
37,right,D4,7433,-1.32,-0.1659,0.4314,0.2553,1.192,8.405,0.7318,137,89,132,-47,-37,60
37,right,D4,8055,-2.21,-0.3355,0.04501,-0.02442,0.4984,3.897,0.3989,41,112,133,49,-14,61
37,right,D5,7433,-2.253,-0.1945,0.3743,0.2616,1.012,7.504,0.6346,138,90,132,-48,-36,60
37,right,D5,8055,-1.625,-0.3754,-0.003638,-0.04881,0.4061,3.75,0.3541,40,113,132,50,-13,60
