subject,hand,comparison,distance
37,left,D1_D2,0.1593268
37,left,D1_D3,0.1611482
37,left,D1_D4,0.2156547
37,left,D1_D5,0.2066618
37,left,D2_D3,0.1481539
37,left,D2_D4,0.2140282
37,left,D2_D5,0.2152865
37,left,D3_D4,0.02956274
37,left,D3_D5,0.1434515
37,left,D4_D5,0.0480066
37,right,D1_D2,0.2637744
37,right,D1_D3,0.3123693
37,right,D1_D4,0.3431953
37,right,D1_D5,0.348221
37,right,D2_D3,0.1229565
37,right,D2_D4,0.2002379
37,right,D2_D5,0.250711
37,right,D3_D4,0.08910954
37,right,D3_D5,0.1078155
37,right,D4_D5,0.0378909
