subject,hand,comparison,volume_a,volume_b,overlap
31,left,D1_D2,648,1206,378
31,left,D1_D3,648,803,254
31,left,D1_D4,648,525,91
31,left,D1_D5,648,1775,394
31,left,D2_D3,1206,803,520
31,left,D2_D4,1206,525,267
31,left,D2_D5,1206,1775,832
31,left,D3_D4,803,525,293
31,left,D3_D5,803,1775,610
31,left,D4_D5,525,1775,446
31,right,D1_D2,1036,1195,687
31,right,D1_D3,1036,1271,645
31,right,D1_D4,1036,1069,529
31,right,D1_D5,1036,1702,611
31,right,D2_D3,1195,1271,746
31,right,D2_D4,1195,1069,716
31,right,D2_D5,1195,1702,818
31,right,D3_D4,1271,1069,807
31,right,D3_D5,1271,1702,989
31,right,D4_D5,1069,1702,932
